	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0	The information you find is actually the answer.  Even if you don't think that is the precise answer, as long as you mention it in the response, you should label the paragraph where you find the information as the evidence. We require every piece of information in your response to have grounding in one evidence paragraph labelled in Step 4. Therefore, in this case, the dialogue situation should be "no answer BUT relevant info / partial answer found".	User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information. I can tell you about the three-color method, which was first suggested in 1855 by James Clerk Maxwell.								
1	It is better if you strictly use the terms in the evidence paragraphs: "North Hemisphere" and "Ireland", instead of "America" and "Europe"	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Different foods are consumed in different countries. Would you like to know about food eaten in America or in Europe?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.				
2		User: What kind of food goes in hotpots?	clarification	Hot pot is a flexible dish where many types of meats and vegetables are added to a broth and cooked together. Would you like to know details about a specific region's hotpot, such as Chonqing, Yunnan, or Cantonese hot pot?	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	One of the most famous Southern variations is the Chongqing hot pot (Chinese: 重庆火锅), which uses mala seasoning flavored with chilli peppers and Sichuan pepper for a spicy and numbing flavor.	Hot pot	In neighbouring Yunnan, although spicy broths are equally popular, there is another predominant type of hot pot that is made with various wild or farmed mushrooms.	Hot pot	A Cantonese variation includes mixing a raw egg with the condiments to reduce the amount of "heat" absorbed by the food, thereby reducing the likelihood of a sore throat after the steamboat meal, according to Chinese herbalist theories.
3	There is no major issue in this annotation. However, a more comprehensive answer can be found.	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane can be found naturally below the ground and under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
4	Make sure all information in your response has grounding in an evidence paragraph you entered. In this case, you should enter the evidence for "Banking act of 1935" as well,	User: How did the Great Depression end in the United States?	clarification	There are many reasons that contributed to the Great Depression ending. Would you like to know about FDR's New Deal, the Banking Act of 1935, or the impact of gold on the economy?	Great Depression	There is no consensus among economists regarding the motive force for the U.S. economic expansion that continued through most of the Roosevelt years (and the 1937 recession that interrupted it).	Great Depression	According to Christina Romer, the money supply growth caused by huge international gold inflows was a crucial source of the recovery of the United States economy, and that the economy showed little sign of self-correction.				
5	It should be easy to notice that there is a Glacier National Park in Canada as well. Therefore, you should clarify with the user which park they refer to. Check the 4th example under "Example" tab in this link: http://qa.cs.washington.edu:7782/task/qualification/preview# . Do not bias your answer search based on your own location. 	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	Yes, there are many campsites along the trails.	Glacier National Park (U.S.)	Many day hikes can be taken in the park. Back-country camping is allowed at campsites along the trails.						
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	There are a few different types of traditional food that Ethiopians can eat for breakfast. They may eat fit-fit, chechebsa, or ful for breakfast.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
7	Again, please do not use informtion that has no grounding in your entered evidence. The paragraph you labeled does not say "epidemic OR pandemic", which indicates these two terms are basically the same. If you want to say this, find an evidence paragraph that supports this claim. In addition, although it is arguable, most other workers label this example as "no answer but relevant info found", as there is no specific info about how WHO define these two terms.	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	The WHO has a six-stage classification that allows them to determine if an epidemic or pandemic has occurred. These stages assess the probability of animal-to-human and human-to-human transmission.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.						
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9	This is accetable. However, it is encouraged to remove too many details that do not directly answer the user question. In this case, information about pesticides and other chemicals could be removed.	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	Many pollutants are dumped into the Great Barrier reef unintentionally due to farm runoff, though runoff from mining operations also contribute. The pesticides and other chemicals that are dumped in this way greatly damage the coral population.	Great Barrier Reef	Another key threat faced by the Great Barrier Reef is pollution and declining water quality.	Great Barrier Reef	Pesticides used in farming are made up of heavy metals such as lead, mercury, arsenic and other toxins are released into the wider environment due to erosion of farm soil, which has a detrimental effect on the coral.	Great Barrier Reef	Mining company Queensland Nickel discharged nitrate-laden water into the Great Barrier Reef in 2009 and 2011 – on the later occasion releasing 516 tonnes (508 long tons; 569 short tons) of waste water.		
10	Being inhabited for 7000-10000 years does not indicate it was discovered 7000-10000 years ago. The discovery time could be way earlier. Therefore, the first sentence in your response should be somthing like "I didn't any the precise answer", and in this case, the dialogue situation should be "no answer but relevant information".	User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	directAnswer	The volcano was discovered between 7,000 and 10,000 years ago. The region around the volcano has been inhabited for at least 7,000-10,000 years.	Parinacota	The region around Parinacota has been inhabited for about 7,000–10,000 years.						
