Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1	3	User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
2	1 and 2	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	directAnswer	In the Northern Hemisphere, food such as candy apples, caramel apples, or taffy apples are typical served.	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.						
3	1	User: What kind of food goes in hotpots?	clarification	There are a variety of regional varieties, do you happen to mean Mainland China hotpot, southern style, northern style, Taiwan, or some other Asian style such as Cambodia or the Philippines to name a couple?	Hot pot	Chinese hot pots are often divided into "Southern style" and "Northern style", paralleling the cultural regions of China.						
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Natural methane can be found either below the ground or under the seafloor. Methane has also be located on other planets as well.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	clarification	There were various factors in play to end the Great Recession, did you mean the economic response, the political response, or how the Great War helped?	Great Depression in the United States	Between the 1920s and 1930s, The United States began to try the tight money policy to promote economic growth.	Great Depression in the United States	At the beginning of 1933, during the last few weeks of Hoover's term, the American financial system was paralyzed.	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938.
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	There are two portions to the Glacier National Park, the U.S. part and the Canada part, which one do you mean?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	invalidDialogueContext									
8		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	I couldn't find the official WHO definition for epidemic, but they do state that pandemics can be thought of as a global outbreak. An epidemic can be located in one area but spreading it out may lead it to become a pandemic. Also, epidemics look at the amount over the baseline, rare diseases with a few cases can be thought of as an epidemic.	Epidemic	An epidemic may be restricted to one location; however, if it spreads to other countries or continents and affects a substantial number of people, it may be termed a pandemic.	Pandemic	In a virtual press conference in May 2009 on the influenza pandemic, Dr. Keiji Fukuda, Assistant Director-General ad interim for Health Security and Environment, WHO said "An easy way to think about pandemic ... is to say: a pandemic is a global outbreak.				
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Do you happen to mean what people are putting into the waters to form the Great Pacific garbage patch or something else?	Great Pacific garbage patch	Research indicates that the patch is rapidly accumulating.						
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	I'm not sure on the exact discovery, but Aymara legends dating to 1800 AD spoke about a possible small eruption, so it was at least known by that time.	Parinacota (volcano)	According to SERNAGEOMIN, Aymara legends referencing volcanic activity imply a latest eruption date of 1800 AD.[8						
12		User: Did any specific country have a significantly less severe experience during the Great Depression?	clarification	A number of countries fared better than their peers during the Great Depression, China was on the silver standard and saw development during the period. France was also mild on the country as unemployment wasn't high and had no banking issues. India was another country, although the effects are debated, and felt little impact on their economy with some gains in their local markets and smaller industries. Lastly,  there was Ireland, who had mostly an agrarian economy due to their bulk exports.	Great Depression	The depression was relatively mild: unemployment peaked under 5%, the fall in production was at most 20% below the 1929 output; there was no banking crisis.[131]	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.	Great Depression	How much India was affected has been hotly debated.	Great Depression	Ireland was a largely agrarian economy, trading almost exclusively with the UK, at the time of the Great Depression.
