Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The three-color method is the foundation of color photography and was first suggested in 1855.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861						
2	1	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	What countries Halloween foods are you interested in. The United States, Ireland, Scotland, Great Britian  or some other country?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.		
3	1 and 2	User: What kind of food goes in hotpots?	directAnswer	Typically hot pots contain thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood placed in a broth.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Hot pot is a flavorful broth traditionally served inside a large metal pot				
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Are you looking for natural or manmade sources of methane?	Atmospheric methane	Any process that results in the production of methane and its release into the atmosphere can be considered a "source".	Atmospheric methane	The most clearly identified rise in atmospheric methane as a result of human activity occurred in the 1700s during the industrial revolution.				
5	1	User: How did the Great Depression end in the United States?	directAnswer	While government programs such as the New Deal where helping the country recover entry into World War II hastened the recovery. This was accomplished largely by ending unemployment.	Great Depression	The common view among economic historians is that the Great Depression ended with the advent of World War II. Many economists believe that government spending on the war caused or at least accelerated recovery from the Great Depression, though some consider that it did not play a very large role in the recovery, though it did help in reducing unemployment	Great Depression in the United States	With the start of full-scale war mobilization in the summer of 1940, the economies of the cities rebounded	Great Depression in the United States	Economic historians led by Price Fishback have examined the impact of New Deal spending	Great Depression in the United States	The Democrats won easy landslide victories in 1932 and 1934, and an even bigger one in 1936; the hapless Republican Party seemed doomed.
6		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	Both the U.S. and Canadian Glacier National Park offer both camping and hotel lodging.	Glacier National Park (U.S.)	Dogs are not permitted on any trails in the park due to the presence of bears and other large mammals. Dogs are permitted at front country campsites that can be accessed by a vehicle and along paved roads	Glacier National Park (Canada)	The grade of the railway approaching Rogers Pass was too steep to allow for dining cars on the trains, so the CPR built a hotel west of the pass in 1886.	Glacier National Park (Canada)	There are three campgrounds in the park. Illecillewaet is the largest, with two smaller campgrounds located at Loop Brook and Sir Donald.[47] There are also five designated backcountry camping areas.	Lake McDonald Lodge	The Lake McDonald Lodge is a historic lodge located within Glacier National Park, on the southeast shore of Lake McDonald.
7	1	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	There are several popular breakfast foods in Ethiopia including Fit-Fit, Fataria and Chechebsca .	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.						
8	1 and 12	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	The main determination between an epidemic and a pandemic is the affected area. A pandemic involves a larger area such as multiple countries or continents.	Epidemic	An epidemic (from Greek ἐπί epi "upon or above" and δῆμος demos "people") is the rapid spread of disease to a large number of hosts in a given population within a short period of time.	Epidemic	An epidemic may be restricted to one location; however, if it spreads to other countries or continents and affects a substantial number of people, it may be termed a pandemic.	World Health Organization	A pandemic (from Greek πᾶν, pan, "all" and δῆμος, demos, "local people" the 'crowd') is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of individuals.		
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Many activities lead to water pollution in the Great Barrier Reef. Are you interested in pollution from run off, factories or direct dumping of material into the reef areas?	Environmental threats to the Great Barrier Reef	Due to the range of human uses made of the water catchment area adjacent to the Great Barrier Reef, some 700 of the 3000 reefs[16] are within a risk zone where water quality has declined due to the naturally acidic sediment and chemical runoff from farming.	Environmental threats to the Great Barrier Reef	A freedom of information request by the Northern Queensland Conservation Council in 2014 showed that Queensland Nickel, owned by Australian politician Clive Palmer, discharged nitrate-laden water into the Great Barrier Reef in 2009 and 2011—releasing 516 tonnes (508 long tons; 569 short tons) of toxic waste water on the latter occasion.	Environmental threats to the Great Barrier Reef	On 31 January 2014, the GBRMPA issued a dumping permit that will allow three million cubic metres of sea bed from Abbot Point, north of Bowen, to be transported and unloaded in the waters of the Great Barrier Reef Marine Park.		
