Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The three-color method is the foundation method of color photography.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.				
2		User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Do you mean in North America or somewhere else, like Great Britain or Ireland?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	List of foods associated with Halloween:		
3		User: What kind of food goes in hotpots?	clarification	Although they originate in China hotpots are used in many different places using a variety of ingredients. Do you mean in China or a different country like Cambodia, Thailand or the Philippines?	Hot pot	Chinese hot pots are often divided into "Southern style" and "Northern style", paralleling the cultural regions of China.	Hot pot	In Cambodian cuisine, hot pot is called yao hon (យ៉ាវហន), though some regions call it chhnang pleurng (ឆ្នាំងភ្លើង), which literally translates to "pot fire".	Hot pot	In Philippine cuisine, hotpot is commonly served by Chinese specialty restaurants, and in some all-you-can-eat buffets.	Hot pot	In Thai cuisine, hotpot is called Thai suki, although it is quite different from the Japanese shabu-shabu variation called sukiyaki. Originally a Chinese-style hot pot, the number of ingredients to choose from was greatly increased and a Thai-style dipping sauce with chili sauce, chilli, lime, and coriander leaves was added.
4	17	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found underground and under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	clarification	There are differing interpretations for why the Great Depression ended. Would you like to hear an explanation from a business oriented perspective or an economist's opinion?	Great Depression in the United States	Business-oriented observers explained the recession and recovery in very different terms from the Keynesian economists.	Great Depression in the United States	On the other hand, according to economist Robert Higgs, when looking only at the supply of consumer goods, significant GDP growth only resumed in 1946.				
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	Yes, both camping and lodging is possible at Glacier National Park.	Glacier National Park (U.S.)	Many day hikes can be taken in the park. Back-country camping is allowed at campsites along the trails.	Glacier National Park (U.S.)	The chalets, built between 1910 and 1913, included Belton, St. Mary, Going-to-the-Sun, Many Glacier, Two Medicine, Sperry, Granite Park, Cut Bank, and Gunsight Lake.				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Examples of Ethiopian breakfasts are Fit-fit, Chechebsa and a variation of ful.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	There is no official category for a pandemic.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	11	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12	2	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	Yes, Portugal is an example of a country that suffered less severe effects from the Great Depression.	Great Depression	Already under the rule of a dictatorial junta, the Ditadura Nacional, Portugal suffered no turbulent political effects of the Depression, although António de Oliveira Salazar, already appointed Minister of Finance in 1928 greatly expanded his powers and in 1932 rose to Prime Minister of Portugal to found the Estado Novo, an authoritarian corporatist dictatorship.						
