Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundational method in which all practical color processes whether chemical or electronic is the three-color method.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell						
2	1 ("sweet" or "baked" is not mentioned in the paragraph, which requires your own prior knowledge. Also, there is large overlap between "sweet" and "baked" categories, which would appear confusing to the user.)	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	The main foods associated with Halloween are sweets or baked goods. Which category would you like to know more of?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking		
3		User: What kind of food goes in hotpots?	clarification	A variety of  starches, meats, vegetables, and stocks can be found in a basic hot pot. Which category would you like to learn more of?	Hot pot	Basic stock is often made using:	Hot pot	Meats and protein vary, and can include	Hot pot	Starches include	Hot pot	Vegetables such as
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Methane is produced either organically or by humans. Which base of production would you like to learn more of?	Atmospheric methane	The most clearly identified rise in atmospheric methane as a result of human activity occurred in the 1700s during the industrial revolution	Atmospheric methane	Any process that results in the production of methane and its release into the atmosphere can be considered a "source".				
5		User: How did the Great Depression end in the United States?	directAnswer	The Great Depression ended in the United States by 1941 thanks to defense spending and military mobilization by the government.	Great Depression in the United States	By the end of 1941, before American entry into the war, defense spending and military mobilization had started one of the greatest booms in American history thus ending the last traces of unemployment						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	There is a Glacier National Park present in the United States, and one in Canada. Which would you like to know more of?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	There are a variety of  dished for Ethiopian breakfasts from stews to pancakes. Which would you like to learn more of?	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast d	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon. Genfo is a kind of porridge, which is another common breakfast dish	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast		
8		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	I could not find anything regarding the official WHO definitions, but in general a pandemic is an epidemic that progresses past international boundaries and affects people worldwide.	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	A variety of human-made pollution is dumped into the reef including farming runoff and heavy metals. Which would like to learn more of?	Great Barrier Reef	Farming fertiliser runoff release nitrogen, phosphorus, and potassium into the oceanic ecosystem, and these limiting nutrients cause massive algal growth which eventually leads to a reduction in oxygen available for other creatures in a process called eutrophication	Great Barrier Reef	Sediment runoff from farming carries chemicals into the reef environment also reduces the amount of light available to the corals decreasing their ability to extract energy from their environment	Great Barrier Reef	Pesticides used in farming are made up of heavy metals such as lead, mercury, arsenic and other toxins are released into the wider environment due to erosion of farm soil, which has a detrimental effect on the coral		
11	19 (It is more likely the user is asking about the volcano. Therefore, you should at least indicate the information you found is for the hamlet in Chile )	User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	I could not find anything regarding the exact discovery, but the first church built in the are was sometime in 17th century.	Parinacota, Chile	The church was built in the 17th century in the form of a central nave with two side chapels						
12	2	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	China was largely unaffected by the Great Depression thanks to having stuck to the Silver standard.	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.						
