Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The first permanent color photograph was taken in 1861 using the three-color-separation principle first published by Scottish physicist James Clerk Maxwell in 1855.	Photography	The first permanent color photograph was taken in 1861 using the three-color-separation principle first published by Scottish physicist James Clerk Maxwell in 1855.						
2	16	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	I found 21 categories of Halloween Food, including apple cider, barmbrack, bonfire toffee and candy. Would you like to know more?	Category:Halloween food	Food associated with Halloween.						
3	2	User: What kind of food goes in hotpots?	directAnswer	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.						
4	14 (however, the fact that methane can be also found in atmosphere is another answer to the user request, which you can provide in your reponse. But the last question you asked is a different question to the original user request.)	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes. Would you like to know how it gets into the atmosphere?	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5	3, 13 and 14	User: How did the Great Depression end in the United States?	clarification	By 1933, 11,000 of US 25,000 banks had failed, US GDP fell around 30%, and the stock market had lost almost 90% of its value. Would you like to know any other changes resulting from the Great Depression?	Great Depression in the United States	By 1933, 11,000 of US 25,000 banks had failed.	Great Depression in the United States	Between 1929 and 1933, U.S. GDP fell around 30%; the stock market lost almost 90% of its value.				
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	The park has three campgrounds, and four backcountry huts and cabins. Which would you like to know more about?	Glacier National Park (Canada)	The park contains high peaks, large, active glaciers, and one of Canada's largest cave systems.						
7	2	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.						
8	1 and 13 / 14 (if you find relevant info instead of an answer, directly provide it instead of asking a suggestive question. If you find a partial answer that is too long and needs clarification, still select "no answer but relevant info / partial answer found" (see FAQ in the instruction))	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	clarification	A pandemic is actually an epidemic that occurs worldwide. Would you like to know how WHO classifies a pandemic?	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.	Epidemic	An epidemic (from Greek ἐπί epi "upon or above" and δῆμος demos "people") is the rapid spread of disease to a large number of hosts in a given population within a short period of time.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.		
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	13	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	In 2014, a permit was issued to allow the dumping of three million cubic meters of dredge spoil. However, the Government later announced that there would now be a ban on such dumping.	Great Barrier Reef	On 31 January 2014, the GBRMPA issued a dumping permit that will allow three million cubic metres of sea bed from Abbot Point, north of Bowen, to be transported and unloaded in the waters of the Great Barrier Reef Marine Park.	Great Barrier Reef	The Australian Federal Government announced on 13 November that there would now be a ban on the dumping of dredge spoil in the Great Barrier Reef Marine Park.				
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12	3	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	By 1931, it was said that the worst was over for Britain. British exports were already more competitive, which laid the ground for a gradual economic recovery.	Great Depression in the United Kingdom	The flight of gold continued, however, and the Treasury finally was forced to abandon the gold standard in September 1931.						
