	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The three-color method is the foundation of virtually all practical color processes.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.						
1		User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	A variety of vegetarian foods are associated with Halloween, but different foods are eaten in different countries. Do you want to know about the foods associated with Halloween in Ireland, Great Britain, North America, Scotland, or some other country/continent?	Halloween	List of foods associated with Halloween:	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.				
2		User: What kind of food goes in hotpots?	clarification	Do you want to know about hotpots in China, Taiwan, Cambodia, Philippines, or some other country?	Hot pot	Greater China	Hot pot	Taiwan	Hot pot	Cambodia	Hot pot	Philippines
3		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Methane is found in many places, including in the atmosphere, underground, in the interstellar medium, and on other planets. Is there a specific place you want to know about?	Methane	Atmospheric methane	Methane	Clathrates	Methane	Interstellar medium	Methane	Mars
4		User: How did the Great Depression end in the United States?	clarification	Many factors contributed to the end of the Great Depression in the United States, including the New Deal, the Second New Deal, a $5 billion spending program in 1938, and Germany's decision to invade France in 1940. Which one do you want to know about?	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.	Great Depression in the United States	In 1934–36 came the much more controversial "Second New Deal."	Great Depression in the United States	Another response to the 1937 deepening of the Great Depression had more tangible results.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938.
5		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Are you asking about the Glacier National Park in the U.S. or the one in Canada?	Glacier National Park	Glacier National Park (Canada)	Glacier National Park (U.S.)	Glacier National Park (U.S.)				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Some of the foods that Ethiopians eat for breakfast are kinche, fit-fit, fatira, cechebsa, genfo, and ful.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
7		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	The WHO doesn't have an official category for a pandemic.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.						
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9	Your annotation is reasonable, but it might be better to interpret the user question within the dialogue context, which means the "dumping" may refer to "Great Barrier Reef" specifically.	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	People dump lots of things into the water, including radioactive waste, marine debris, plastic, and toxins. Is there a specific kind of waste that you want to know more about?	Ocean disposal of radioactive waste	From 1946 through 1993, thirteen countries used ocean disposal or ocean dumping as a method to dispose of nuclear/radioactive waste.	Marine pollution	Marine debris pollution	Marine pollution	Plastic pollution	Marine pollution	Toxins
10		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	I couldn't find how Parinacota was discovered, but the region around Parinacota has been inhabited for about 7,000-10,000 years.	Parinacota (volcano)	The region around Parinacota has been inhabited for about 7,000–10,000 years.						
11		User: Did any specific country have a significantly less severe experience during the Great Depression?	clarification	Yes, Britain, Scandinavia, France, and Portugal all had less severe experiences during the Great Depression.	Great Depression	The world financial crisis now began to overwhelm Britain; investors around the world started withdrawing their gold from London at the rate of £2.5 million per day.	Great Depression	According to later analysis, the earliness with which a country left the gold standard reliably predicted its economic recovery.	Great Depression	France's relatively high degree of self-sufficiency meant the damage was considerably less than in neighbouring states like Germany.	Great Depression	Already under the rule of a dictatorial junta, the Ditadura Nacional, Portugal suffered no turbulent political effects of the Depression, although António de Oliveira Salazar, already appointed Minister of Finance in 1928 greatly expanded his powers and in 1932 rose to Prime Minister of Portugal to found the Estado Novo, an authoritarian corporatist dictatorship.
