Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.						
2	16	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Do you have a specific type of food you are asking about?	Pages in category "Halloween food"	The following 21 pages are in this category, out of 21 total. This list may not reflect recent changes (learn more).						
3	4	User: What kind of food goes in hotpots?	clarification	Which countries hot pot ingredients do you want to know about?	Hot pot	Hot pot or hotpot (simplified Chinese: 火锅; traditional Chinese: 火鍋; pinyin: huǒguō; lit. 'fire pot'), also known as soup-food or steamboat, is a cooking method that originated in China, prepared with a simmering pot of soup stock at the dining table, containing a variety of Chinese foodstuffs and ingredients.	Lancashire hotpot	Lancashire hotpot is a stew originating from Lancashire in the North West of England. It consists of lamb or mutton and onion, topped with sliced potatoes (or a more traditional topping of pastry or puff pastry) and baked in a heavy pot on a low heat.[1]	Chongqing hot pot	Chongqing hot pot (simplified Chinese: 重庆火锅; traditional Chinese: 重慶火鍋; pinyin: Chóngqìng huǒguō), also known as spicy hot pot, is usually eaten at restaurants, but otherwise is similar to roadside malatang	Shabu-shabu	Shabu-shabu (Japanese: しゃぶしゃぶ, romanized: shabushabu) is a Japanese nabemono hotpot dish of thinly sliced meat and vegetables boiled in water and served with dipping sauces.[1]
4	2	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5	4	User: How did the Great Depression end in the United States?	clarification	Do you want to know specific policies or what political responses were?	Great Depression in the United States	Between the 1920s and 1930s, The United States began to try the tight money policy to promote economic growth. In terms of the fiscal policy, the US government failed to reach a consensus on the fiscal issue.	Great Depression in the United States	At the beginning of 1933, during the last few weeks of Hoover's term, the American financial system was paralyzed.	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.		
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you mean Glacier National Park in the US or Canada?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
7	1	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Some common Ethiopian breakfast dishes include fit-fit also known as fir-fir, fatira, chechebsa, and ful.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.						
8	12 (the user is specifically asking about what WHO decides)	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	Epidemic is when this disease is found to infect a significantly larger number of people at the same time than is common at that time, and among that population, and may spread through one or several communities. Pandemic occurs when an epidemic spreads worldwide.	Disease outbreak	Epidemic – when this disease is found to infect a significantly larger number of people at the same time than is common at that time, and among that population, and may spread through one or several communities.	Disease outbreak	Pandemic – occurs when an epidemic spreads worldwide.				
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	Dredged seabed is the major pollutant dumped in the waters of the Great Barrier Reef.	Environmental threats to the Great Barrier Reef	Following a tour of the Great Barrier Reef area by WHC members, a 2012 UNESCO report, which criticised management of the Great Barrier Reef, specifically recommended no new port development outside the established areas of Abbot Point, Gladstone, Hay Point/Mackay, and Townsville.[17]						
11	13 (the region was created does not mean when the place was discovered?) and / or 19 (based on the dialogue context, the user is more likely asking about the volcano.)	User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	directAnswer	Arica y Parinacota Region was created on October 8, 2007 under Law 20.175, promulgated on March 23, 2007 by President Michelle Bachelet in the city of Arica.	Regions of Chile	Arica y Parinacota Region was created on October 8, 2007 under Law 20.175, promulgated on March 23, 2007 by President Michelle Bachelet in the city of Arica.						
12	13 and 2	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	While most countries were affected badly, the US was hit the hardest according the multiple economic indicators of the time.	Great Depression	Change in economic indicators 1929–1932[19]						
