	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation method of all practical color processes is the three-color method. It was first suggested in 1855 by James Clerk Maxwell.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.						
1	The last evidence paragraph does not contain information about food, and thus needs to be removed. The first paragraph contains food information, but it is not used in your response. Therefore, either use it in your response or remove it.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Would you like to know Halloween foods eaten in the United States, or Ireland, or other parts of the world?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	Trick-or-treating is a customary celebration for children on Halloween. Children go in costume from house to house, asking for treats such as candy or sometimes money, with the question, "Trick or treat?"
2		User: What kind of food goes in hotpots?	clarification	Hot pot ingredients vary, would you like information for Chinese, Taiwanese, Cambodian, or Philippine recipes?	Hot pot	Chinese hot pots are often divided into "Southern style" and "Northern style", paralleling the cultural regions of China.	Hot pot	In Taiwanese cuisine, it is very common to eat the food with a dipping sauce consisting of shacha sauce and raw egg yolk.	Hot pot	In Cambodian cuisine, hot pot is called yao hon (យ៉ាវហន), though some regions call it chhnang pleurng (ឆ្នាំងភ្លើង), which literally translates to "pot fire".	Hot pot	In Philippine cuisine, hotpot is commonly served by Chinese specialty restaurants, and in some all-you-can-eat buffets.
3	There can be more answers to be found in the same paragraph: atmospheric methane and other planets 	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane can be found below ground and under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
4		User: How did the Great Depression end in the United States?	directAnswer	The Great Depression ended in the United States due to huge growth in production of war materials needed after Germany defeated France in 1940. The influx of gold to pay for these materials stimulated the economy while defense spending and military mobilization ended unemployment.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938.	Great Depression in the United States	The need for these war materials created a huge spurt in production, thus leading to a promising level of employment in America.	Great Depression in the United States	By the end of 1941, before American entry into the war, defense spending and military mobilization had started one of the greatest booms in American history thus ending the last traces of unemployment.		
5	If you find entity ambiguity in the user request, please simply put the page title as the evidence paragraph. Please see example 4 under the "Example" tab at http://qa.cs.washington.edu:7782/task/qualification/preview#	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Are you looking for information for Glacier National Park in the United States or in Canada?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Ethiopians eat a variety of foods for breakfast, would you like to know about varieties of porridge, pancakes, or stews?	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper. It is incredibly simple, inexpensive, and nutritious.
7		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	According to the WHO there is no official category for a pandemic, but it is defined as an epidemic that crosses international borders usually affecting people worldwide.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.				
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Are you asking about dumping near the Great Barrier Reef? Examples of pollutants found there are runoff from farming and heavy metals from mining.	Great Barrier Reef	Another key threat faced by the Great Barrier Reef is pollution and declining water quality.	Great Barrier Reef	According to a 2016 report, while higher regulation contributes to less overall pollution from "other land uses, such as industrial, mining, port development, dredging and urban development", these can still be locally significant.				
