Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1	13 (You should just directly say what is the foundation method based on what you find, instead of asking a different question. Also, if you intended to ask a clarification question, this is incorrect in this case, because the answer is short and can be directly provided.)	User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	Would you like to know when the first photograph was made using this method?	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.						
2	1 and 4 (if you find different types of food, you should find evidence for each of them and either list out them as concrete options for the user in a clarification question, or directly summarize into a 1-2 sentence answer. Also, you don't need 3 paragraphs as evidence for "Halloween cake".)	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Would you like to know if there are traditional Halloween foods other than cake?	Halloween cake	Halloween cake is prepared with Halloween symbols and themes.	Halloween cake	Halloween cakes may be prepared in the appearance of jack-o'-lanterns and pumpkins.	Halloween cake	Some companies mass-produce Halloween cakes, such as Hostess Brands, which manufactures Hostess CupCakes for Halloween named "Hostess Scarycakes."		
3	1 and 4 (if you find different varieties, you should find evidence for each of them and list out them as concrete options for the user. The first two paragraphs seem to talk about typical hotpots, use them in your response or remove them. Also, note that you don't want to include too many side information that is not direct answer to the user question.)	User: What kind of food goes in hotpots?	clarification	Would you like to know different styles of hotpots served by location?	Hot pot	Hot pot is a flavorful broth traditionally served inside a large metal pot.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Modern eateries offer a partitioned pot with differently-flavored broths in each section.		
4	1 (the third paragraph is redundant)	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Some emissions are produced naturally, but most that contribute to greenhouse gases come from fossil fuel use, animal agriculture, plant agriculture, and waste.	Methane emissions	About one-third (33%) of anthropogenic emissions are from gas release during the extraction and delivery of fossil fuels; mostly due to gas venting and gas leaks from both active fossil fuel infrastructure and orphan wells.	Methane emissions	The world's wetlands contribute about three-quarters (75%) of the enduring natural sources of methane.	Methane emissions	Abiogenic methane is stored in rocks and soil stems from the geologic processes that convert ancient biomass into fossil fuels.		
5	1 or 4? (If possible, try to use concrete options that clearly corresponds to each evidence paragraph and consider re-use terms in those paragraphs. Also, I think it's safe to assume that user is asking about contributing factors for the end of Great Depression, instead of "when".)	User: How did the Great Depression end in the United States?	clarification	Would you like to know important dates and acts that resulted in the overturning of the great depression?	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.	Great Depression in the United States	The Hoover Administration attempted to correct the economic situation quickly, but was unsuccessful.	Great Depression in the United States	The Roosevelt Administration reacted by launching a rhetorical campaign against monopoly power, which was cast as the cause of the depression, and appointing Thurman Arnold to break up large trusts; Arnold was not effective, and the campaign ended once World War II began and corporate energies had to be directed to winning the war.	Great Depression in the United States	Another response to the 1937 deepening of the Great Depression had more tangible results.
6	1 or 9 (From the evidence, it is unclear whether it is the same glacier national park separated by the US-Canada border or whey are two parks. Therefore, it's also not accurate to say there are campgrounds and cabins in "the" park. )	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	There are both traditional and primitive campgrounds, as well as rustic cabins in Glacier National Park. Are you interested in locations for the portion of the park within Canada or the United States.	Glacier National Park (Canada)	There are three campgrounds in the park.	Glacier National Park (U.S.)	Many day hikes can be taken in the park.	Roes Creek Campground Camptender's Cabin	The Roes Creek Campground Camptender's Cabin, also known as the Rising Sun Campground Ranger Cabin, in Glacier National Park is an example of the National Park Service Rustic style.	Two Medicine Campground Camptender's Cabin	The Two Medicine Campground Camptender's Cabin in Glacier National Park is an example of the National Park Service Rustic style.
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Kinche, fit-fit, chechebsa, and a variation of ful are all commonly consumed by Ethiopians for breakfast.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
8	13 and 14 (The information provided in your response does not directly answer the user request. Therefore, it can only be considered relevant information. In this case, do not ask a suggestive question and instead, just directly provide the highly relevant information. If there are too many relevant information, try to provide the most relevant one. If you insist that the relevant info or the partial answer is too long and requires a clarification, you should still label the dialogue situation as "no answer but relevant info / partial answer found" => see FAQ in the instruction)	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	clarification	An epidemic is the rapid spread of a disease to many hosts in a short period of time whereas a pandemic is an epidemic that crosses international boundaries. Would you like to know the six-stage classification WHO uses to describe the process of an epidemic turning into a pandemic?	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.	Epidemic	An epidemic (from Greek ἐπί epi "upon or above" and δῆμος demos "people") is the rapid spread of disease to a large number of hosts in a given population within a short period of time.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.		
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	1 or 4? (I guess the issue here is that it is not straightforward each option you provide in your clarification question maps to which evidence paragraph. If possible, try to use concrete options that clearly corresponds to each evidence paragraph and consider re-use terms in those paragraphs. A big part of our project is to collect "factually grounded" dialogue responses. Therefore, it si very important that your response has clear connection to labeled evidence.)	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Are you asking what people are dumping in the water from a pollution aspect or what people are using for bait that results in the area being overfished?	Environmental issues with coral reefs	Reefs in close proximity to human populations are subject to poor water quality from land- and marine-based sources.	Environmental threats to the Great Barrier Reef	The new Ports Bill fails to rule out any currently proposed new dredging, the dumping of dredge spoil in the Reef's waters and is silent on maintenance dredging across the region.	Environmental threats to the Great Barrier Reef	Following a tour of the Great Barrier Reef area by WHC members, a 2012 UNESCO report, which criticised management of the Great Barrier Reef, specifically recommended no new port development outside the established areas of Abbot Point, Gladstone, Hay Point/Mackay, and Townsville.	Environmental threats to the Great Barrier Reef	On 31 January 2014, the GBRMPA issued a dumping permit that will allow three million cubic metres of sea bed from Abbot Point, north of Bowen, to be transported and unloaded in the waters of the Great Barrier Reef Marine Park.
