	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	noAnswerButRelevantInfo	The foundation method of all color processes is actually called the three-color method. It involves taking three colorless photographs of the same scene through red, green and blue filters and then superimposing them on a screen to create a single image.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.	Color photography	In his studies of color vision, Maxwell showed, by using a rotating disk with which he could alter the proportions, that any visible hue or gray tone could be made by mixing only three pure colors of light – red, green and blue – in proportions that would stimulate the three types of cells to the same degrees under particular lighting conditions.				
1	"Great Britain" doesn't seem to have any information in your annotated 2 evidence paragraphs. In this case, you should only mention  Ireland and North America. Another option is to enter a single paragraph with the first sentence as "List of foods associated with Halloween:", which contains all three regions.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	The food eaten during Halloween varies depending on where in the world you are. Do you want food eaten in Ireland, Great Britain, North America, or more general foods?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	List of foods associated with Halloween:	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.
2	This is our fault in not making it clear in the intruction. If you could, it is strongly suggested to label your last evidence paragraph from the actual "Lancashire hotpot" page, instead of the "Hot pot (disambiguation)"	User: What kind of food goes in hotpots?	clarification	A hotpot contains different foods in different cultures. Are you interested in a hotpot in Korea, Karelia, China, Britain, or somewhere else?	Jeongol	Jeongol (전골) is a Korean-style hot pot made by putting meat, mushroom, seafood, seasoning, etc., in a stew pot, adding broth, and boiling it.	Chongqing hot pot	Chongqing hot pot (simplified Chinese: 重庆火锅; traditional Chinese: 重慶火鍋; pinyin: Chóngqìng huǒguō), also known as spicy hot pot, is usually eaten at restaurants, but otherwise is similar to roadside malatang.	Karelian hot pot	The Karelian hot pot (British)[1] or Karelian stew (US)[2] (Finnish: karjalanpaisti; Russian: рагу по-карельски ragu po-karelski; Swedish: karelsk stek) is a traditional meat stew originating from the region of Karelia.	Hot pot (disambiguation)	Lancashire hotpot is a stew originating from Lancashire in the North West of England.
3	It seems like your response only used information from your annotated paragraph 1, 3 and 4. Therefore, you don't need to annotate 2 as it is redundant.	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Methane is primarily found below ground and under the seafloor, where it is often in the form of methane clathrates, but also occurs in the atmosphere and on all planets in our Solar System.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.	Methane	Methane was discovered and isolated by Alessandro Volta between 1776 and 1778 when studying marsh gas from Lake Maggiore.	Methane	Atmospheric methane	Methane	Methane is abundant in many parts of the Solar System and potentially could be harvested on the surface of another solar-system body (in particular, using methane production from local materials found on Mars[65] or Titan), providing fuel for a return journey.
4		User: How did the Great Depression end in the United States?	directAnswer	Many measures were tried to improve the effects of the Great Depression throughout the 1930s, including Roosevelt's New Deal, but ultimately the American entry into WWII is what caused the American economy to skyrocket and the Great Depression to end.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938.	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.				
5		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Are you interested in visiting the Glacier National Park in the US, or the one in Canada?	Glacier National Park (Canada)	Glacier National Park (Canada)	Glacier National Park (U.S.)	Glacier National Park (U.S.)				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Some common breakfast foods in Ethiopia include fit-fit, fatira, chechebsa, genfo and ful.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
7	Similar to above comments, your first entered paragraph is not used in your response. You should either remove it or add information from it to your response.	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	At one point the WHO had a six-stage classification process to classify the stages of a pandemic, but they now say "there is no official category [for a pandemic]".	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.				
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9	Similar to above comments, your third entered paragraph is not used in your response. You should either remove it or add information from it to your response. The dumping of water waste seems to be something happened in the past. It would be better to reflect it in your response.	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	Many harmful substances are dumped in the Great Barrier Reef, including dredging sludge and mining waste water.	Great Barrier Reef	A large part of the reef is protected by the Great Barrier Reef Marine Park, which helps to limit the impact of human use, such as fishing and tourism.	Great Barrier Reef	Mining company Queensland Nickel discharged nitrate-laden water into the Great Barrier Reef in 2009 and 2011 – on the later occasion releasing 516 tonnes (508 long tons; 569 short tons) of waste water.	Great Barrier Reef	In December 2013, Greg Hunt, the Australian environment minister, approved a plan for dredging to create three shipping terminals as part of the construction of a coalport. According to corresponding approval documents, the process will create around 3 million cubic metres of dredged seabed that will be dumped within the Great Barrier Reef marine park area.		
10		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	I'm not sure how Parinacota was discovered.								
11	You should list out the countries you found as options in your clarification question. For example, "Is there a particular region of the world you'd like to know more about?" --> "Do you want to know about China, India, Ireland, Japan or somewhere else?"	User: Did any specific country have a significantly less severe experience during the Great Depression?	clarification	There were many countries less affected by the Great Depression, primarily those with fewer international dependencies. Is there a particular region of the world you'd like to know more about?	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.	Great Depression	How much India was affected has been hotly debated.	Great Depression	Ireland was a largely agrarian economy, trading almost exclusively with the UK, at the time of the Great Depression.	Great Depression	The Great Depression did not strongly affect Japan.
