Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation method involves taking three separate black-and-white photographs through red, green and blue filters.	Photography	The first permanent color photograph was taken in 1861 using the three-color-separation principle first published by Scottish physicist James Clerk Maxwell in 1855.						
2		User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Would you like to know what is eaten during Halloween within or outside of the United States?	Candy corn	Candy corn is a type of small, pyramid-shaped candy, typically divided into three sections of different colors, with a waxy texture and a flavor based on honey, sugar, butter, and vanilla.[1][2] It is a staple candy of the fall season and the Halloween holiday in North America.	Barmbrack	Barmbrack is the centre of an Irish Halloween custom.	Trick-or-treating	Trick-or-treating is a traditional Halloween custom for children and adults in some countries.		
3	1	User: What kind of food goes in hotpots?	clarification	Are you interested in hot pot meals from England or different countries within Asia such as Japan and China?	Lancashire hotpot	Lancashire hotpot is a stew originating from Lancashire in the North West of England. It consists of lamb or mutton and onion, topped with sliced potatoes (or a more traditional topping of pastry or puff pastry) and baked in a heavy pot on a low heat.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Chongqing hot pot	As one of the most spicy types of hot pot, Chongqing hot pot uses different ingredients when making the hot pot base.		
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane can be found in animal and plant agriculture, fossil fuel related activities, as well as waste production.	Methane emissions	About one-third (33%) of anthropogenic emissions are from gas release during the extraction and delivery of fossil fuels; mostly due to gas venting and gas leaks from both active fossil fuel infrastructure and orphan wells.						
5	1	User: How did the Great Depression end in the United States?	directAnswer	Deal policies, growth in money supply due to gold inflows, as well as reflation and a rise in interest rates aided in the recovery.	Great Depression	There is no consensus among economists regarding the motive force for the U.S. economic expansion that continued through most of the Roosevelt years (and the 1937 recession that interrupted it).						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	There are campgrounds at St. Mary, Apgar, as well as The Rising Sun Auto Camp.	Glacier National Park (U.S.)	Many day hikes can be taken in the park. Back-country camping is allowed at campsites along the trails.	Rising Sun Auto Camp	The Rising Sun Auto Camp, also known as the Roes Creek Auto Camp, East Glacier Auto Camp or simply Rising Sun preserves a portion of the built-up area of Glacier National Park that documents the second phase of tourist development in the park.				
7	1	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Some possible breakfast options in Ethiopia include Kitcha fit-fit, Fit-fit, Ga'at, Shahan ful, and Panettone.	Eritrean cuisine	Kitcha fit-fit, a dish made from pieces of a hearty pancake tossed in clarified butter and spices.						
8	12	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	People often dump building materials, automobile parts, household appliances, household waste, furniture, yard scraps, and medical waste.	Illegal dumping	Illegal dumping involves the unauthorized disposal of numerous types of waste.						
11	12	User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	directAnswer	Parinacota came about when regions from Tarapacá and Los Ríos were taken out and replaced.	Regions of Chile	In December 2006, two new regions were created: the northern Arica and Parinacota Region, by taking out the two northernmost provinces from the Tarapacá Region; and Los Ríos Region in the south, encompassing the provinces of Valdivia, formerly part of the Los Lagos Region, and Ranco, formerly part of Valdivia.						
12	2	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	Unlike other countries, France suffered little from unemployment and other financial struggles as a result of having a stronger economy.	Great Depression in France	While the United States experienced a sharp rise in unemployment, France had almost none.						
