Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The three color method was the foundation process for color photography suggested in 1855 by James Clerk Maxwell.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on						
2	1 and / or 4	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There is variety of vegetarian food associated with Hallwoeen. Would you like to know about barmbrack?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.				
3	3	User: What kind of food goes in hotpots?	invalidDialogueContext									
4	2	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane is found under sea and below ground then it is formed by other processes.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	directAnswer	Great depression ended through world war 2 when United States entered war in 1941. It eliminated the last effects of great depression.	Great Depression	When the United States entered the war in 1941, it finally eliminated the last effects from the Great Depression and brought the U.S. unemployment rate down below 10%.[						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Yes, there are many camping grounds and lodgings inside and outside of Glacier National Park. Would you like to know about Roes Creek camping ground?	Roes Creek Campground Camptender's Cabin	The Roes Creek Campground Camptender's Cabin, also known as the Rising Sun Campground Ranger Cabin, in Glacier National Park is an example of the National Park Service Rustic style.	Glacier National Park (Canada)	There are three campgrounds in the park. Illecillewaet is the largest, with two smaller campgrounds located at Loop Brook and Sir Donald.[	Glacier Park Lodge	There are three campgrounds in the park. Illecillewaet is the largest, with two smaller campgrounds located at Loop Brook and Sir Donald.[		
7	1 (last one paragraph not used)	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Ethiopian eat Fit-Fit which is a common Ethiopian breakfast dish. Would you like to know about Chechebsa or Genfo dish?	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	Genfo is a kind of porridge, which is another common breakfast dish.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
8	1	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	There are steps by Centers for Disease Control and Prevention to identify the outbreak.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.	Disease outbreak	When investigating disease outbreaks, the epidemiology profession has developed a number of widely accepted steps. As described by the United States Centers for Disease Control and Prevention,	International Health Regulations	In order to declare a PHEIC, the WHO Director-General is required to take into account factors which include the risk to human health and international spread as well as advice from an internationally made up committee of experts, the IHR Emergency Committee (EC), one of which should be an expert nominated by the State within whose region the event arises.	International Health Regulations	A Public Health Emergency of International Concern, or PHEIC, is defined in the IHR (2005) as, “an extraordinary event which is determined to constitute a public health risk to other States through the international spread of disease and to potentially require a coordinated international response”
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Would you like to know about Marine Debris or Marine Pollution?	Marine debris	Marine debris, also known as marine litter, is human-created waste that has deliberately or accidentally been released in a sea or ocean.	Marine pollution	Marine pollution occurs when substances used or spread by humans, such as industrial, agricultural and residential waste, particles, noise, excess carbon dioxide or invasive organisms enter the ocean and cause harmful effects there.				
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	No archeological findings are reported from Parinacota.	Parinacota (volcano)	The region around Parinacota has been inhabited for about 7,000–10,000 years.						
12	2	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	Great Britain had less severe impact of great depression than any other countries.	Cities in the Great Depression	Although the impact of the Great Depression on Great Britain was less severe than elsewhere, the industrial cities of the Midlands, the North, and Scotland were very hard-hit.						
