Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation for all practical color processes is Trichromy or the three color method. It is the theory that all colors can be created by combining just three primary colors.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell	Trichromy	Trichromy is the colour theory by which any colour can be reproduced solely combining the three primary colours. It relies on human trichromacy.	Trichromy	It is also referred to the three colour process in photography.		
2	It is suggested to specify which food is eaten in which region or clarifiy with the user.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	directAnswer	Vegetarian dishes, candy covered apples, and special cakes are some of the foods eaten at Halloween.	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.[229]	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.		
3		User: What kind of food goes in hotpots?	clarification	What type of hotpot would you like know about? Stew or Soup? Chinese or Japanese or English?	Hot pot	Hot pot or hotpot (simplified Chinese: 火锅; traditional Chinese: 火鍋; pinyin: huǒguō; lit. 'fire pot'), also known as soup-food or steamboat, is a cooking method that originated in China, prepared with a simmering pot of soup stock at the dining table, containing a variety of Chinese foodstuffs and ingredients.	Lancashire hotpot	Lancashire hotpot is a stew originating from Lancashire in the North West of England	Shabu-shabu	Shabu-shabu (Japanese: しゃぶしゃぶ, romanized: shabushabu) is a Japanese nabemono hotpot dish of thinly sliced meat and vegetables boiled in water and served with dipping sauces		
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane is found below the earth and seafloor, in the atmosphere, and on other planets.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	noAnswerButRelevantInfo	I did not find the answer but I did find that military spending and mobilization created a boom that ended the unemployment crises.	Great Depression in the United States	By the end of 1941, before American entry into the war, defense spending and military mobilization had started one of the greatest booms in American history thus ending the last traces of unemployment.[70]						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	There are campgrounds located throughout the park.	Glacier National Park (U.S.)	Many day hikes can be taken in the park.						
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	A variation of ful, Chechebsa, and Fit-fit or fir-fir are common Ethiopian cuisine breakfast dishes.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoo	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8	12	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	The WHO uses a classification system that has six stages from the first infections through to a pandemic.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	11	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	clarification	Which Parinacota would you like to know about? Parinacota, Chile, Parinacota (volcano), or Parinacota Province?	Parinacota Province	Parinacota Province (Spanish: Provincia de Parinacota) is one of two provinces of the Chilean region of Arica y Parinacota	Parinacota (volcano)	Parinacota (in Hispanicized spelling), Parina Quta or Parinaquta is a dormant stratovolcano on the border of Chile and Bolivia.	Parinacota, Chile	Parinacota is a Chilean hamlet in Putre, Parinacota Province, Arica and Parinacota Region.		
12	2	User: Did any specific country have a significantly less severe experience during the Great Depression?	noAnswerButRelevantInfo	I was not able to find the answer, but I did find that The Great Depression was devastating for both poor and rich countries .	Great Depression	The Great Depression had devastating effects in both rich and poor countries.						
