Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation method of color photography is the three-color method, suggested by James Clerk, a Scottish Physicist.	Color Photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.						
2	4 and 7 (be careful about mistake 1 when doing the re-annotation too)	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are different foods consumed on Halloween in religions such as Christianity, as well as in different countries like Italy. Would you like to know about the religious or regional foods?	Halloween	Some Christians historically abstained from meat on All Hallows' Eve, a tradition reflected in the eating of certain vegetarian foods on this vigil day, including apples, potato pancakes, and soul cakes.	Halloween	In Brittany, libations of milk were poured on the graves of kinfolk,[64] or food would be left overnight on the dinner table for the returning souls;[75] a custom also found in Tyrol and parts of Italy.	Halloween	In the same country, "parish priests went house-to-house, asking for small gifts of food which they shared among themselves throughout that night".	Halloween	Groups of poor people, often children, would go door-to-door during Allhallowtide, collecting soul cakes, in exchange for praying for the dead, especially the souls of the givers' friends and relatives.
3	1 (paragraph 1 and 2 repetitive?), 4 and 7	User: What kind of food goes in hotpots?	clarification	There are a variety of foods that can be cooked in a hot pot. Would you like to know the foods used by country/region?	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood	Hot pot	Meats and protein vary, and can include:      Thinly sliced lamb, goat, beef, sometimes pork, chicken or other poultry	Hot pot	In Cebu City, a specialty restaurant offers a "hot pot" that is literally a huge ceramic pot filled with cooked rice, choice of beef, pork, or chicken slices, special sauce, and choice vegetables such as broccoli, carrot, shallot, ginger, pechay, kangkong leaves, spices, and some slices of hard-boiled eggs on top; it is more similar to kamameshi than the namesake.	Hot pot	Various types of meat, fish and vegetables are boiled in a shared pot of broth.
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane can arise from a variety of different sources such as, livestock, coal mining, wastewater and oil and gas extraction. There are also other sources as well.	Climate change	Methane emissions come from livestock, manure, rice cultivation, landfills, wastewater, and coal mining, as well as oil and gas extraction.						
5	1 (repetitive paragraphs as evidence for your response)	User: How did the Great Depression end in the United States?	noAnswerButRelevantInfo	As to what ended the Great Depression in America, there is a lot of debate. I did find out that the two reasons could be the New Deal, put into effect by Franklin Delano Roosevelt, or America's military production during World War II.	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.	Great Depression in the United States	The New Deal was, and still is, sharply debated	Great Depression in the United States	Using these cost-plus contracts in 1941–1943, factories hired hundreds of thousands of unskilled workers and trained them, at government expense.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938.
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	There are both camping and lodging opportunities at Glacier Park, that were built and placed by the Great Northern Railway.	Glacier National Park (U.S.)	Many day hikes can be taken in the park.	Glacier National Park (U.S.)	The region that became Glacier National Park was first inhabited by Native Americans.				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	A common Ethiopian breakfast can consist of Chechebsa, ful and Fit-fit. These foods are composed of beans, injera, pancakes and kitcha, among other ingredients.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8	14	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	I could not find a definitive answer, but I did find out that the WHO has a constitution that helps them fulfill their worldwide health objectives. Would you like to know more about the WHO's Constitutional efforts?	World Health Organization	The WHO fulfills this objective through its functions as defined in its Constitution: (a) To act as the directing and coordinating authority on international health work; (b) To establish and maintain effective collaboration with the United Nations, specialized agencies, governmental health administrations, professional groups and such other organizations as may be deemed appropriate; (c) To assist Governments, upon request, in strengthening health services; (d) To furnish appropriate technical assistance and, in emergencies, necessary aid upon the request or acceptance of Governments;(e) To provide or assist in providing, upon the request of the United Nations, health services and facilities to special groups, such as the peoples of trust territories; (f) To establish and maintain such administrative and technical services as may be required, including epidemiological and statistical services;(g) to stimulate and advance work to eradicate epidemic, endemic and other diseases; (h) To promote, in co-operation with other specialized agencies where necessary, the prevention of accidental injuries; (i) To promote, in co-operation with other specialized agencies where necessary, the improvement of nutrition, housing, sanitation, recreation, economic or working conditions and other aspects of environmental hygiene; (j) To promote co-operation among scientific and professional groups which contribute to the advancement of health; (k) To propose conventions, agreements and regulations, and make recommendations with respect to international health matters and to perform.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	1 (repetitive paragraphs as evidence for your response)	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	People dump many polluting substances into the water, such as pesticides, lead, arsenic and mercury. Human mining activities also contribute to heavy metal deposits of copper into the water.	Great Barrier Reef	Another key threat faced by the Great Barrier Reef is pollution and declining water quality.	Great Barrier Reef	According to a 2016 report, while higher regulation contributes to less overall pollution from "other land uses, such as industrial, mining, port development, dredging and urban development", these can still be locally significant	Great Barrier Reef	Mining company Queensland Nickel discharged nitrate-laden water into the Great Barrier Reef in 2009 and 2011 – on the later occasion releasing 516 tonnes (508 long tons; 569 short tons) of waste water.		
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12	4	User: Did any specific country have a significantly less severe experience during the Great Depression?	clarification	There are many countries who did not feel the effects of the Great Depression as much as others. Which country would you like to know more about, that was affected by the Great Depression?	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.	Great Depression	France's relatively high degree of self-sufficiency meant the damage was considerably less than in neighbouring states like Germany.	Great Depression	The Great Depression did not strongly affect Japan.	Great Depression	Already under the rule of a dictatorial junta, the Ditadura Nacional, Portugal suffered no turbulent political effects of the Depression, although António de Oliveira Salazar, already appointed Minister of Finance in 1928 greatly expanded his powers and in 1932 rose to Prime Minister of Portugal to found the Estado Novo, an authoritarian corporatist dictatorship.
