Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1	1	User: Who invented photography?  Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors.  User: When did color photography arrise?  Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made?  User: Actually, what is the foundation method?	directAnswer	James Clerk Maxwell first suggested the three foundational color method in 1855, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.	Color photography	Color photography is photography that uses media capable of capturing and reproducing colors						
2	1, 4 and 13	User: Which country does Halloween originate from?  Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices.  User: What are some types of food eaten during Halloween?	noAnswerButRelevantInfo	There are series of meals dedicated to Halloween, and some of those meals are Monster cereals, pumpkin pie, pumpkin, soul cake and many more others, although you can specify if you have any region in mind?	Pumpkin	A pumpkin is a cultivar of winter squash that is round with smooth, slightly ribbed skin, and is most often deep yellow to orange in coloration.	Monster Cereals	The monster cereals are a line of breakfast cereals produced by General Mills Corporation in North America. The line was introduced in 1971	Soul cake	A soul cake, also known as a soulmass-cake, is a small round cake (though they more resemble in appearance and texture a shortbread biscuit, with sweet spices) which is traditionally made for Halloween, All Saints' Day and All Souls' Day to commemorate the dead in many religions traditions.	Pumpkin pie	Pumpkin pie is a dessert pie with a spiced, pumpkin-based custard filling.
3	2	User: What kind of food goes in hotpots?	clarification	A hotpot cooking is usually an ancient Chinese cooking method that usually known as steamboat, and its used to cook various types of Chinese foodstuffs and ingredients.	Hot pot	Hot pot or hotpot (simplified Chinese: 火锅; traditional Chinese: 火鍋; pinyin: huǒguō; lit. 'fire pot'), also known as soup-food or steamboat, is a cooking method that originated in China, prepared with a simmering pot of soup stock at the dining table, containing a variety of Chinese foodstuffs and ingredients.						
4	17	User: What is the main cause of contemporary climate change?  Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases?  User: I'm curious to know where methane can be found?	directAnswer	Methane in its natural form can be found under ground and under the sea floor, which most likely formed by both geological and biological processes.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5	1	User: How did the Great Depression end in the United States?	noAnswerButRelevantInfo	In 1940 the Government began heavy military spending and started drafting young men and women, and also the government subsidize wages on 1945 through cost-plus contracts and this led to factories hiring hundreds of thousands of unskilled workers.	Great Depression in the United States	The government began heavy military spending in 1940, and started drafting millions of young men that year.						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you mean the Glacier National Park in Montana, USA or the one in British Columbia, Canada?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
7	2	User: How do Ethiopians make Areki?  Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic.  User: What do Ethiopians eat for breakfast?	directAnswer	Kinche (Qinch’e), is a common breakfast meal for an Ethiopian.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.						
8	9 (the second half of the response is not from WHO)	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	An epidemic according to WHO is a diseases not required to be contagious if its within a specific region or location, but can spread to a pandemic when its infection spread across nations and worldwide.	Epidemic	An epidemic disease is not required to be contagious,[2][4] and the term has been applied to West Nile fever[2] and the obesity epidemic (e.g., by the World Health Organization[6]), among others.[4]	Pandemic	A pandemic (from Greek πᾶν, pan, "all" and δῆμος, demos, "local people" the 'crowd') is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of individuals.				
9		User: How are nations around the globe combatting climate change?  Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society?  User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	1 and 13	User: What species are overfished in the Great Barrier Reef?  Agent: Giant Triton and sharks are overfished.  User: What do people dump in the water?	noAnswerButRelevantInfo	people dump varieties of waste to pollute water body which could be categorize into various forms like sewage, industry, agriculture, urban runoff including storm water, industrial waste, radioactive waste and many more.	Water pollution	Water pollution results when contaminants are introduced into these water bodies. Water pollution can usually be attributed to one of four sources: sewage, industry, agriculture, and urban runoff including stormwater.						
11	1 and 13	User: Where is the Parinacota located?  Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province.  User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Do you mean the Parinacota Province or the Parinacota (volcano)?								
12	1 and 13	User: Did any specific country have a significantly less severe experience during the Great Depression?	noAnswerButRelevantInfo	Series of countries that had less negative economic impact as result to the great depression include, China, Japan, Portugal, Soviet union and Spain!	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.	Great Depression	The Great Depression did not strongly affect Japan. The Japanese economy shrank by 8% during 1929–31	Great Depression	Already under the rule of a dictatorial junta, the Ditadura Nacional, Portugal suffered no turbulent political effects of the Depression, although António de Oliveira Salazar, already appointed Minister of Finance in 1928 greatly expanded his powers and in 1932 rose to Prime Minister of Portugal to found the Estado Novo, an authoritarian corporatist dictatorship	Great Depression	The Soviet Union was the world's only socialist state with very little international trade. Its economy was not tied to the rest of the world and was mostly unaffected by the Great Depression.
