Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	In color photography, electronic sensors or light-sensitive chemicals record color information at the time of exposure.  The recorded information is then used to reproduce the original colors by mixing various proportions of red, green and blue light.	Color photography	At the time of exposure, the spectrum of colors is analyzed into three channels of information, one dominated by red, another by green and the third by blue.						
2	It is suggested to specify which food is eaten in which region or clarifiy with the user.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	directAnswer	Candy/toffee/caramel apples, candy/caramel corn, candy pumpkins, sweets/candy, pumpkin pie.	Halloween	List of foods associated with Halloween:						
3		User: What kind of food goes in hotpots?	directAnswer	Hot pot foods include protein foods such as thinly sliced meat, tongue, offal, seafood, tofu; starchy foods such as dumplings and noodles; vegetables such as daikon, bean sprouts, winter melon, and napa cabbage; condiments such as soy sauce and sesame oil.	Hot pot	Meats and protein vary, and can include:	Hot pot	Starches include:	Hot pot	Vegetables such as:		
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	33% of human sources of methane emissions come from the oil and gas extraction/delivery while 75% of natural sources of methane come from wetlands.  Do you want me to list more sources?	Methane emissions	About one-third (33%) of anthropogenic emissions are from gas release during the extraction and delivery of fossil fuels; mostly due to gas venting and gas leaks from both active fossil fuel infrastructure and orphan wells.	Methane emissions	The world's wetlands contribute about three-quarters (75%) of the enduring natural sources of methane.				
5		User: How did the Great Depression end in the United States?	clarification	In the United States, the Great Depression ended by World War 2 due to heavy government military spending, drafting millions of young men into the military (including some of the unemployed), and government subsidized wages.	Great Depression in the United States	The government began heavy military spending in 1940, and started drafting millions of young men that year.						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you mean the Glacier National Park in the U.S. or the one in Canada?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
7	7	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Examples of Ethiopian breakfast foods include fit-fit (shredded injera), fatira (fried pancake), Chechebsa (pancake covered wit berbere or spices), and ful (fava bean stew).	Ethiopian cuisine	Ethiopians eat for breakfast	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8	13 and 14 (if you find relevant info instead of an answer, directly provide it instead of asking a suggestive question. If you find a partial answer that is too long and needs clarification, still select "no answer but relevant info / partial answer found" (see FAQ in the instruction))	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	clarification	I could not find the WHO's criteria for endemic/pandemics criteria. Would you like to know the epidemiology definitions for endemic and pandemic?	Pandemic	A pandemic (from Greek πᾶν, pan, "all" and δῆμος, demos, "local people" the 'crowd') is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of individuals.	Endemic (epidemiology)	In epidemiology, an infection is said to be endemic (from the Greek ἐν, en, "in, within" and δῆμος, demos, "people") in a population when that infection is constantly maintained at a baseline level in a geographic area without external inputs.				
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	13 or 14 (If you already indicate the info you found does not contain direct answer, then select "relevant info or partial answer" even if you decide to clarfify on it. But note that usually when you find relevant info, you should directly provide it instead of asking a suggestive question.)	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	I could not find any explicit dumping but there are many accidents and oil spills over the years due to commercial shipping routes that pass through the Great Barrier Reef. Would you like additional details?	Environmental threats to the Great Barrier Reef	In 1970, responding to concern about oil spills such as the Torrey Canyon, two Royal Commissions were ordered "into exploratory and production drilling for petroleum in the area of the Great Barrier Reef"	Environmental threats to the Great Barrier Reef	Shipping accidents continue to be perceived as a threat, as several commercial shipping routes pass through the Great Barrier Reef.				
