Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	It is based on the theory that the human eye sees color because of the cone cells of three types: in theory, one type is most sensitive to the end of the spectrum we call "red", another is more sensitive to the middle or "green" region, and a third which is most strongly stimulated by "blue".	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861	Color photography	It is based on the Young–Helmholtz theory that the normal human eye sees color because its inner surface is covered with millions of intermingled cone cells of three types: in theory, one type is most sensitive to the end of the spectrum we call "red", another is more sensitive to the middle or "green" region, and a third which is most strongly stimulated by "blue".				
2	Sorry that our instruction did not make this clear, but for the last paragraph, you can simply use "List of foods associated with Halloween:" as the first paragraph sentence here.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	A variety of vegetarian foods are eaten due to Christian beliefs associated with Halloween, which also vary depending on a country. Do you want to know the examples from Ireland, Great Britain or North America?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	List of foods associated with Halloween:  Barmbrack (Ireland) Bonfire toffee (Great Britain) Candy apples/toffee apples (Great Britain and Ireland) Candy apples, candy corn, candy pumpkins (North America) Chocolate Monkey nuts (peanuts in their shells) (Ireland and Scotland) Caramel apples Caramel corn Colcannon (Ireland; see below) Halloween cake Sweets/candy Novelty candy shaped like skulls, pumpkins, bats, worms, etc. Roasted pumpkin seeds Roasted sweet corn Soul cakes Pumpkin Pie
3	1 (the second paragraph is unnecessary as the first paragraph is enough to cover the variation from China included in your clarification question)	User: What kind of food goes in hotpots?	clarification	There are hotpots from many countries including China, Taiwan, SE Asia, Korea, Japan and England. What country's variation do you want to know?	Hot pot	Hot pot is a dish or style of cooking from China, Taiwan, and southeast Asia.	Hot pot	Hot pot or hotpot (simplified Chinese: 火锅; traditional Chinese: 火鍋; pinyin: huǒguō; lit. 'fire pot'), also known as soup-food or steamboat, is a cooking method that originated in China, prepared with a simmering pot of soup stock at the dining table, containing a variety of Chinese foodstuffs and ingredients.	Lancashire hotpot	Lancashire hotpot is a stew originating from Lancashire in the North West of England. It consists of lamb or mutton and onion, topped with sliced potatoes (or a more traditional topping of pastry or puff pastry) and baked in a heavy pot on a low heat.		
4	1	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.	Methane	Methane (US: /ˈmɛθeɪn/, UK: /ˈmiːθeɪn/) is a chemical compound with the chemical formula CH4 (one carbon atom bonded to four hydrogen atoms). It is a group-14 hydride, the simplest alkane, and the main constituent of natural gas.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.	Methane	Methane was discovered and isolated by Alessandro Volta between 1776 and 1778 when studying marsh gas from Lake Maggiore. It is the major component of natural gas, about 87% by volume.		
5		User: How did the Great Depression end in the United States?	directAnswer	Defense spending for the World War II started a great boom in the economy leading to an end of the unemployment.	Great Depression in the United States	By the end of 1941, before American entry into the war, defense spending and military mobilization had started one of the greatest booms in American history thus ending the last traces of unemployment						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	There are two Glacier National Parks in the North America. Are you referring to the one in Canada or  in the US?	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.				
7	13 (if you decide to summary multiple answers into 1-2 sentences, you should select "direct answer can be provided")	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Foods like Kinche, Fit-Fit, Chechebsa, and Ful are commonly eaten for breakfast.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon. Genfo is a kind of porridge, which is another common breakfast dish	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
8	1	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	The WHO no longer uses its own 6 stage classification for a pandemic, but generally, a pandemic is a global outbreak.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.	Pandemic	In a virtual press conference in May 2009 on the influenza pandemic, Dr. Keiji Fukuda, Assistant Director-General ad interim for Health Security and Environment, WHO said "An easy way to think about pandemic ... is to say: a pandemic is a global outbreak.	Epidemic	An epidemic (from Greek ἐπί epi "upon or above" and δῆμος demos "people") is the rapid spread of disease to a large number of hosts in a given population within a short period of time.		
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	noAnswerButRelevantInfo	The reef is endangered by dumping of dredging sludge, but I don't know what else people dump into the water.	Great Barrier Reef	A large part of the reef is protected by the Great Barrier Reef Marine Park, which helps to limit the impact of human use, such as fishing and tourism						
