Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1	3	User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
2	4	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Which region's Halloween food are you interested in?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.				
3	2	User: What kind of food goes in hotpots?	directAnswer	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.						
4	2	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5	4 and maybe 1 as well	User: How did the Great Depression end in the United States?	clarification	Do you want to know all the policy changes and political events that led to the Great Depression ending?	Great Depression in the United States	The government began heavy military spending in 1940, and started drafting millions of young men that year.	Great Depression in the United States	Using these cost-plus contracts in 1941–1943, factories hired hundreds of thousands of unskilled workers and trained them, at government expense.	Great Depression in the United States	Structural walls were lowered dramatically during the war, especially informal policies against hiring women, minorities, and workers over 45 or under 18.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938.
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	Campgrounds that allow vehicle access are found throughout the park, most of which are near one of the larger lakes.	Glacier National Park (U.S.)	Many day hikes can be taken in the park. Back-country camping is allowed at campsites along the trails.						
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Ethiopians eat foods such as fit-fit, chechebsa, genfo and ful for breakfast.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8	12 (the user is specifically asking about what WHO decides)	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale. A disease or condition is not a pandemic merely because it is widespread or kills many people; it must also be infectious.	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Do you mean what kinds of waste people dump into the water?	Water pollution	Point source water pollution refers to contaminants that enter a waterway from a single, identifiable source, such as a pipe or ditch.	Water pollution	Nonpoint source (NPS) pollution refers to diffuse contamination (or pollution) of water or air that does not originate from a single discrete source.				
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12		User: Did any specific country have a significantly less severe experience during the Great Depression?	clarification	Countries like China, Japan, France and the Soviet Union were largely unaffected by the Great Depression.	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.	Great Depression	The depression was relatively mild: unemployment peaked under 5%, the fall in production was at most 20% below the 1929 output; there was no banking crisis.[	Great Depression	The Great Depression did not strongly affect Japan.	Great Depression	The Soviet Union was the world's only socialist state with very little international trade.
