Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1	1	User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	clarification	The three-color method is the foundation method of practically all color processes including for photography. It is based on the Young-Helmholtz theory that says the human eye is most sensitive to the colors red, green, and blue.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.	Color photography	It is based on the Young–Helmholtz theory that the normal human eye sees color because its inner surface is covered with millions of intermingled cone cells of three types: in theory, one type is most sensitive to the end of the spectrum we call "red", another is more sensitive to the middle or "green" region, and a third which is most strongly stimulated by "blue".	Color photography	In his studies of color vision, Maxwell showed, by using a rotating disk with which he could alter the proportions, that any visible hue or gray tone could be made by mixing only three pure colors of light – red, green and blue – in proportions that would stimulate the three types of cells to the same degrees under particular lighting conditions.		
2	1 & 4	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Some universal food items eaten all over the world for Halloween are: chocolate, caramel apples, caramel corn, sweets/candy, and roasted pumpkin sees. Would you like to know more about food items eaten in specific countries?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	At one time, candy apples were commonly given to trick-or-treating children, but the practice rapidly waned in the wake of widespread rumors that some individuals were embedding items like pins and razor blades in the apples in the United States.		
3	1 and 15	User: What kind of food goes in hotpots?	clarification	Hot pot is a dish, or style of cooking, originating from China, Taiwan, and southeast Asia. Would you like to know more about the different varieties?	Hot pot (disambiguation)	Hot pot is a dish or style of cooking from China, Taiwan, and southeast Asia.	Hot pot	Hot pot or hotpot (simplified Chinese: 火锅; traditional Chinese: 火鍋; pinyin: huǒguō; lit. 'fire pot'), also known as soup-food or steamboat, is a cooking method that originated in China, prepared with a simmering pot of soup stock at the dining table, containing a variety of Chinese foodstuffs and ingredients.	Hot pot	Hot pot is a flavorful broth traditionally served inside a large metal pot.		
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane emissions come from livestock, manure, rice cultivation, landfills, wastewater, and coal mining, as well as oil and gas extraction. It can also be released from melting permafrost, releases from wetlands, marine systems, and freshwater systems.	Climate change	Global anthropogenic greenhouse gas emissions in 2018, excluding those from land use change, were equivalent to 52 billion tonnes of CO2	Climate change	Another major feedback is the reduction of snow cover and sea ice in the Arctic, which reduces the reflectivity of the Earth's surface.				
5	1	User: How did the Great Depression end in the United States?	directAnswer	Defense spending and military mobilization started one of the greatest economic booms in American history, which ended the last of the unemployment resulting from the Great Depression.	Great Depression in the United States	The government began heavy military spending in 1940, and started drafting millions of young men that year.	Great Depression in the United States	Using these cost-plus contracts in 1941–1943, factories hired hundreds of thousands of unskilled workers and trained them, at government expense.	Great Depression in the United States	Structural walls were lowered dramatically during the war, especially informal policies against hiring women, minorities, and workers over 45 or under 18.		
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Would you like to know about the Glacier National Park in the U.S. or in Canada?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Some food items that are typically eaten by Ethiopians for breakfast are fit-fit or fir-fir, fatira, chechebsa, genfo, and fava bean stew. Would you like to know more about what comprises any of these dishes?	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8	1	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	clarification	In 2009 Assistant Director-General in WHO, Dr. Keiji Fukuda, said, "a pandemic is a global outbreak." A pandemic is already defined as an epidemic, just more widespread, which is what WHO decides on defining--though as of February 2020, a WHO spokesperson said that "there is no official category" for a pandemic.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.	Pandemic	A key part of managing an infectious disease outbreak is trying to decrease the epidemic peak, known as "flattening the curve".		
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	1 (all three paragraphs is about the controversy. I don't see the evidence for your second question.)	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Are you referring to the Abbot Point coal port dredge dumping controversy? Or are you referring to what types of things people pollute the Great Barrier Reef with?	Great Barrier Reef	In December 2013, Greg Hunt, the Australian environment minister, approved a plan for dredging to create three shipping terminals as part of the construction of a coalport.	Great Barrier Reef	On 31 January 2014, the GBRMPA issued a dumping permit that will allow three million cubic metres of sea bed from Abbot Point, north of Bowen, to be transported and unloaded in the waters of the Great Barrier Reef Marine Park.	Great Barrier Reef	The dredge spoil from the Abbot Point port project is to be dumped 24 kilometres (15 mi) away, near Bowen in north Queensland, and the approval from the Authority will result in the production of an extra 70 million tonnes of coal annually, worth between A$1.4 billion and $2.8 billion.		
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	Parinacota does not have a direct discovery date, but the region around it has been inhabited for about 7,000-10,000 years.	Parinacota (volcano)	The region around Parinacota has been inhabited for about 7,000–10,000 years. Politically, since 1,000 years ago first Tiwanaku and then the Inka ruled over the region.						
12	1 and 4 (provide evidence for other countries and specify those countries in your question)	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	China was not very affected by the Great Depression because they had stuck to the Silver standard. Would you like to know about other countries not as affected by the Great Depression?	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.						
