	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	It records the photograph down into three different channels - Red, green, and blue light.  They are then mixed together to imitate the way the human eye senses color.	Photography	The foundation of virtually all practical color processes, Maxwell's idea was to take three separate black-and-white photographs through red, green and blue filters.[40][41] This provides the photographer with the three basic channels required to recreate a color image. Transparent prints of the images could be projected through similar color filters and superimposed on the projection screen, an additive method of color reproduction.						
1	The two sentences do not seem to be exactly the first sentence of a paragraph in the page. Please be careful when you copy and paste.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Would you like to know about foods in North America or in Scotland and Ireland?	Halloween	Scotland and Ireland  items would be hidden in food – usually a cake, barmbrack, cranachan, champ or colcannon	Halloween	North America , candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.				
2		User: What kind of food goes in hotpots?	clarification	There are many regional variations of the dish.  Do you want to know about the food variations in China, Taiwan, Southeast Asia, or Europe?	Hot pot	Mainland China	Hot pot	Taiwan	Hot pot	Southeast Asia	Hot pot	Europe
3		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	There are three primary methods of methane creation.  Would you like to hear about the Geological, Biological, or Industrial  sources of methane?	Methane	Geological routes	Methane	Biological routes	Methane	Industrial routes		
4		User: How did the Great Depression end in the United States?	directAnswer	Franklin Roosevelt's New Deal is widely viewed as the legislation that led to the end of the Great Depression.	Great Depression in the United States	Three years into the depression, President Herbert Hoover, widely blamed for not doing enough to combat the crisis, lost the election of 1932 to Franklin Delano Roosevelt by a historically wide margin. Roosevelt's economic recovery plan, the New Deal, instituted unprecedented programs for relief, recovery and reform, and brought about a major realignment of American politics.						
5	If you find entity ambiguity in the user request, please simply put the page title as the evidence paragraph. Please see example 4 under the "Example" tab at http://qa.cs.washington.edu:7782/task/qualification/preview#	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	There are two Glacier National Parks, do you want to know about the one in the United States or Canada?	Glacier National Park	Columbia-Shuswap, British Columbia, Canada	Glacier National Park (U.S.)	Flathead County & Glacier County, Montana, United States				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Four common dishes that are eaten for breakfast in Ethiopia are fit-fit (or fir-fir), chechebsa (or kita firfir), fatira, and genfo.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.  It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	Another popular breakfast food is fatira. The delicacy consists of a large fried pancake made with flour, often with a layer of egg. It is eaten with honey.	Ethiopian cuisine	Genfo is a kind of porridge, which is another common breakfast dish. It is usually served in a large bowl with a dug-out made in the middle of the genfo and filled with spiced niter kibbeh.
7	The second paragraph is redundant and should be removed.	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	A pandemic is a type of epidemic that has spread across a large region such as multiple countries or continents.	Pandemic	A pandemic (from Greek πᾶν, pan, "all" and δῆμος, demos, "local people" the 'crowd') is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of individuals.	Epidemic	An epidemic (from Greek ἐπί epi "upon or above" and δῆμος demos "people") is the rapid spread of disease to a large number of hosts in a given population within a short period of time. For example, in meningococcal infections, an attack rate in excess of 15 cases per 100,000 people for two consecutive weeks is considered an epidemic.[1][2]				
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	The Great Barrier Reef has suffered from both the dumping of mining pollutants and dredge soil from construction of new ports.	Environmental threats to the Great Barrier Reef	A freedom of information request by the Northern Queensland Conservation Council in 2014 showed that Queensland Nickel, owned by Australian politician Clive Palmer, discharged nitrate-laden water into the Great Barrier Reef in 2009 and 2011—releasing 516 tonnes (508 long tons; 569 short tons) of toxic waste water on the latter occasion. In June 2012, Queensland Nickel stated it intended to release waste water, continuously for three months, "at least 100 times the allowed maximum level as well as heavy metals and other contaminants".	Environmental threats to the Great Barrier Reef	On 31 January 2014, the GBRMPA issued a dumping permit that will allow three million cubic metres of sea bed from Abbot Point, north of Bowen, to be transported and unloaded in the waters of the Great Barrier Reef Marine Park.				
