Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation method, or the three-color method, was first suggested in 1855 in a paper written by Scottish physicist James Clerk Maxwell.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861						
2	4	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are many foods that one might consume during Halloween, various candies being one of them, but Christians historically ate vegetarian foods, abstaining from meat. Please let me know if you would like to know more.	Halloween	Halloween activities include trick-or-treating (or the related guising and souling), attending Halloween costume parties, carving pumpkins into jack-o'-lanterns, lighting bonfires, apple bobbing, divination games, playing pranks, visiting haunted attractions, telling scary stories, and watching horror or Halloween-themed films.						
3	2	User: What kind of food goes in hotpots?	directAnswer	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.						
4	1	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Would you like to know where methane naturally occurs, or would you like to know where methane occurs as the byproduct of a process?	Methane clathrate	Methane clathrates are restricted to the shallow lithosphere (i.e. < 2,000 m depth). Furthermore, necessary conditions are found only in either continental sedimentary rocks in polar regions where average surface temperatures are less than 0 °C; or in oceanic sediment at water depths greater than 300 m where the bottom water temperature is around 2 °C.	Methane clathrate	In the less common second type found near the sediment surface, some samples have a higher proportion of longer-chain hydrocarbons (< 99% methane) contained in a structure II clathrate.	Sewer gas	Sewer gases may include hydrogen sulfide, ammonia, methane, esters, carbon monoxide, sulfur dioxide and nitrogen oxides.	Natural gas	Natural gas is found in deep underground rock formations or associated with other hydrocarbon reservoirs in coal beds and as methane clathrates.
5	1	User: How did the Great Depression end in the United States?	directAnswer	The answer is complicated, but the general consensus is that the Great Depression ended in the United States with the start of World War II due to government spending and job creation for the war effort.	Great Depression in the United States	With the start of full-scale war mobilization in the summer of 1940, the economies of the cities rebounded. Even before Pearl Harbor, Washington pumped massive investments into new factories and funded round-the-clock munitions production, guaranteeing a job to anyone who showed up at the factory gate.	Great Depression in the United States	Most economies started to recover by 1933–34. However, in the U.S. and some others the negative economic impact often lasted until the beginning of World War II, when war industries stimulated recovery.	Great Depression in the United States	Between the 1920s and 1930s, The United States began to try the tight money policy to promote economic growth. In terms of the fiscal policy, the US government failed to reach a consensus on the fiscal issue.	Great Depression in the United States	The government began heavy military spending in 1940, and started drafting millions of young men that year.
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	Yes, there are a number of historic hotels located in Glacier National Park that were built buy the Great Northern Railway. Additionally, there are a number of marked camping sites along trails which require permits obtained from certain visitor centers.	Glacier National Park (U.S.)	Many day hikes can be taken in the park. Back-country camping is allowed at campsites along the trails.	Glacier National Park (U.S.)	The region that became Glacier National Park was first inhabited by Native Americans. Upon the arrival of European explorers, it was dominated by the Blackfeet in the east and the Flathead in the western regions.	Glacier National Park (U.S.)	The Great Northern Railway, under the supervision of president Louis W. Hill, built a number of hotels and chalets throughout the park in the 1910s to promote tourism.		
7	1	User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	A typical Ethiopian dish that is eaten at breakfast is known as fit -fit, or fir-fir. Ingredients usually include shredded injera, berere, onions, and clarified butter.	List of Ethiopian and Eritrean dishes and foods	Fir-fir – an Ethiopian and Eritrean food typically served for breakfast.	List of Ethiopian and Eritrean dishes and foods	Fit-fit or fir-fir (Ge'ez: ፍትፍት fitfit; ፍርፍር firfir), (Oromo: chechebsaa), is an Eritrean and Ethiopian food typically served as breakfast.	List of Ethiopian and Eritrean dishes and foods	In Eritrea, leftover meat sauces (zighni or tsebhi) are often added to injera fit-fit and served for breakfast with raw chili peppers and yoghurt on the side.	List of Ethiopian and Eritrean dishes and foods	Injera fit-fit (enjera fetfet;[1] also taita fit-fit in Tigrinya) is a combination of shredded injera, berbere, onions, and clarified butter.
8		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information on how the WHO decides what constitutes an epidemic and what constitutes a pandemic.								
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	maybe 1 or maybe 4	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	This is a broad question that has many possible answers. Would you like to know about man made pollution that makes it way to the oceans?	Disposal of human corpses	Disposal of this type happens for various reasons, including the main difference between a burial at sea and a burial on land: the difficulty in recovering the body. Sometimes this difference is desired to dispose of bodies outside of the law.	Marine debris	Marine debris, also known as marine litter, is human-created waste that has deliberately or accidentally been released in a sea or ocean. Floating oceanic debris tends to accumulate at the center of gyres and on coastlines, frequently washing aground, when it is known as beach litter or tidewrack. Deliberate disposal of wastes at sea is called ocean dumping. Naturally occurring debris, such as driftwood and drift seeds, are also present.	Marine debris	The 10 largest emitters of oceanic plastic pollution worldwide are, from the most to the least, China, Indonesia, Philippines, Vietnam, Sri Lanka, Thailand, Egypt, Malaysia, Nigeria, and Bangladesh,[26] largely through the rivers Yangtze, Indus, Yellow, Hai, Nile, Ganges, Pearl, Amur, Niger, and the Mekong, and accounting for "90 percent of all the plastic that reaches the world's oceans."	Litter	Hazardous materials encapsulated within tires and other items of illegally dumped rubbish can leach into water sources, contaminate the soil and pollute the air.
