Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	Foundation method is the three-color method which is the foundation of all practical color processes.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.[1][2]						
2	2	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	directAnswer	Some types of food eaten during Halloween in the United States include Pumpkin pie.	Pumpkin pie	Pumpkin pie is a dessert pie with a spiced, pumpkin-based custard filling. The pumpkin is a symbol of harvest time, and pumpkin pie is generally eaten during the fall and early winter. In the United States and Canada, it is usually prepared for Thanksgiving,[1] and other occasions when pumpkin is in season.						
3	1 and 2	User: What kind of food goes in hotpots?	directAnswer	Raw ingredients, such as meat and vegetables, are placed into the simmering broth and thus "cooked".	Hot pot	Hot pot or hotpot (simplified Chinese: 火锅; traditional Chinese: 火鍋; pinyin: huǒguō; lit. 'fire pot'), also known as soup-food or steamboat, is a cooking method that originated in China, prepared with a simmering pot of soup stock at the dining table, containing a variety of Chinese foodstuffs and ingredients.						
4	17	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found both below ground and under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	directAnswer	Before American entry into the war in 1941, defense spending and military mobilization had started one of the greatest booms in American history thus ending the depression.	Great Depression in the United States	By the end of 1941, before American entry into the war, defense spending and military mobilization had started one of the greatest booms in American history thus ending the last traces of unemployment.						
6	5	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	noAnswerButRelevantInfo	Are you talking about the Glacier National Park in the U.S. or Canada?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Kinche (Qinch'e), Fit-fit, Chechebsa and a variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, are common food for breakfast in Ethiopia.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
8		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	An epidemic is the rapid spread of disease to a large number of hosts in a given population within a short period of time. A pandemic is an epidemic of an infectious disease that has spread across a large region, affecting a substantial number of individuals. But these definitions are not from WHO.	Epidemic	An epidemic (from Greek ἐπί epi "upon or above" and δῆμος demos "people") is the rapid spread of disease to a large number of hosts in a given population within a short period of time.	Pandemic	A pandemic (from Greek πᾶν, pan, "all" and δῆμος, demos, "local people" the 'crowd') is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of individuals.				
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	11	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	invalidDialogueContext									
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12	3	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	There is no country with less effect in the Great Depression.	Great Depression	The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States.						
