	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation method is referred to as the "three-color method", which is the fundamental starting point of every color process.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.						
1	Unless you include information from the first paragraph in your response, remove it. It is suggested to use the terms used in the evidence like "North Hemisphere" and "Ireland".	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are many treats associated with Halloween. Do you want to know about North American food or varieties found in Europe?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.		
2		User: What kind of food goes in hotpots?	clarification	There are many varieties of hot pot throughout the world. Would you like to know about hot pots from Mainland China, Southeast Asia, or Europe?	Hot pot	Mainland China	Hot pot	Southeast Asia	Hot pot	Europe		
3	The second paragraph "Natural sources of atmospheric methane" can be removed, as your paragraph 3 and 4 already covers the evidence for your clarification question. It is important to not label redundant or repetitive paragraphs. Let's say your response contains information A and B. You find paragraph 1 containing A, paragraph 2 containing both A and B and paragraph 3 containing C only. In this case, you should ONLY label paragraph 2 as the single evidence paragraph. 	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Methane can be found in the earth's atmosphere, but their origins come from various conditions. Do you want to know about where methane can occur naturally, through methanogenesis, or through animals?	Atmospheric methane	The known sources of methane are predominantly located near the Earth's surface.	Atmospheric methane	Natural sources of atmospheric methane	Atmospheric methane	Methanogenesis	Atmospheric methane	Animals
4	The factor mentioned in the second paragraph "monetary policy by the Federal Reserve" is not mentioned in your response. Therefore, either add it as an option in the clarification question, or remove it as an evidence.	User: How did the Great Depression end in the United States?	noAnswerButRelevantInfo	I have not found a defining key moment that ended the Great Depression in the United States. Would you like to learn about the New Deal, military spending, or the emergence WWII which all contributed to ending it?	Great Depression in the United States	Roosevelt's New Deal	Great Depression in the United States	By 1936, all the main economic indicators had regained the levels of the late 1920s, except for unemployment, which remained high.	Great Depression in the United States	The government began heavy military spending in 1940, and started drafting millions of young men that year.	Great Depression in the United States	By the end of 1941, before American entry into the war, defense spending and military mobilization had started one of the greatest booms in American history thus ending the last traces of unemployment.
5		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	noAnswerButRelevantInfo	Which country's Glacier National Park are you asking about? The US, or Canada?	Glacier National Park (U.S.)	Glacier National Park (U.S.)	Glacier National Park (Canada)	Glacier National Park (Canada)				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	There are many dishes that Ethiopians may eat for breakfast. Would you like to know about kinche, fit-fit, chechebsa, or ful?	Ethiopian cuisine	Kinche (Qinch'e)	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
7		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	The WHO constitutes a pandemic as a global outbreak. I don't know how the WHO constitutes an epidemic.	Pandemic	In a virtual press conference in May 2009 on the influenza pandemic, Dr. Keiji Fukuda, Assistant Director-General ad interim for Health Security and Environment, WHO said "An easy way to think about pandemic ... is to say: a pandemic is a global outbreak.						
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	People dump many kinds of debris into the ocean, primarily petrochemical plastics. Would you like to know about the types of pollution such as ghost nets, macroplastics, microplastics, or something else?	Marine debris	With the increasing use of plastic, human influence has become an issue as many types of (petrochemical) plastics do not biodegrade quickly, as would natural or organic materials.	Marine debris	Ghost nets	Marine debris	Macroplastic	Marine debris	Microplastics
