	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation of all practical color photography processes is the three-color method.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.[1][2						
1	The first paragraph sentence that you entered - "Some Christians historically" is not a first sentence of a paragraph. Also, there is no information about food eaten in the U.S in paragraphs you entered. You should probably replace the first paragraph you entered into "At one time, candy apples were commonly given to trick-or-treating children ...", which does include U.S information.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Do you want to know the foods eaten in the United States or other countries such as Ireland who also celebrate Halloween?	Halloween	Some Christians historically abstained from meat on All Hallows' Eve, a tradition reflected in the eating of certain vegetarian foods on this vigil day, including apples, potato pancakes, and soul cakes.[32][33][34][35]	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.[233]				
2	The first paragraph is not used in your response. Therefore, it is redundant and you should remove it. In addition, there are many different varieties of hot pot. You should point that out and clarify with the user which one they are interested in.	User: What kind of food goes in hotpots?	directAnswer	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood added to a flavorful broth.	Hot pot	Hot pot is a flavorful broth traditionally served inside a large metal pot.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.				
3		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Do you want to know more about naturally occurring or atmospheric methane on Earth or methane found on other planets such as Mars?	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
4		User: How did the Great Depression end in the United States?	directAnswer	After Germany invaded France in 1940, the need for war materials created a huge spurt in production, thus leading to a promising level of employment in America. Moreover, Britain chose to pay for their materials in gold stimulating the economy and the Great Depression ended in the United States.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938	Great Depression in the United States	The need for these war materials created a huge spurt in production, thus leading to a promising level of employment in America.				
5	In this case where you find the entity ambiguity with the same name, please just label the page title as the paragraph first sentence.	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you want information about the Glacier National Park in the United States or the one in Canada?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada))	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?		There are several dishes Ethiopians like to eat for breakfast including kinche, fit-fit, chechebsa and ful. Would you like to learn more about one of these dishes?	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
7	The second paragraph is not used in your response. Therefore, it is redundant and you should remove it.	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	I am not sure but did you know that a pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale?	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.				
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9	It might be arguable, but a better situation type to choose could be "noAnswerButRelevantInfo" as the water waste dumping happened in the past.	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	Mining operations have dumped toxic waste water into the Great Barrier Reef causing environmental concerns.	Environmental threats to the Great Barrier Reef	A freedom of information request by the Northern Queensland Conservation Council in 2014 showed that Queensland Nickel, owned by Australian politician Clive Palmer, discharged nitrate-laden water into the Great Barrier Reef in 2009 and 2011—releasing 516 tonnes (508 long tons; 569 short tons) of toxic waste water on the latter occasion.						
10		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	That is not clear but the region around Parinacota has been inhabited for about 7,000–10,000 years.	Parinacota (volcano)	The region around Parinacota has been inhabited for about 7,000–10,000 years.						
11	This is incorrect. There should be multiple countries can be found on the "Great Depression" page including China, Japan, Spain and so on. Also, your entered page title is weird. Make sure you double check the page title.	User: Did any specific country have a significantly less severe experience during the Great Depression?	noAnswerButRelevantInfo	The Great Depression was the longest, deepest, and most widespread depression of the 20th century that affected the global economy. It is not clear if any countries had a less severe experience during that time.	Open main menu Wikipedia Search Great Depression	The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States						
