Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The three-color method is the foundation of virtually all practical color processes whether chemical or electronic.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.						
2	Sorry that our instruction did not make this clear, but you can simply use "List of foods associated with Halloween:" as the first paragraph sentence to include all evidence items you list here.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	What country's Halloween food are you asking about? Ireland, Britain, North America or Scotland?	Halloween	Barmbrack (Ireland)	Halloween	Bonfire toffee (Great Britain)	Halloween	Candy apples, candy corn, candy pumpkins (North America) Chocolate	Halloween	Monkey nuts (peanuts in their shells) (Ireland and Scotland)
3	2	User: What kind of food goes in hotpots?	directAnswer	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood						
4	2	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found both below ground and under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes						
5	1 and 13	User: How did the Great Depression end in the United States?	clarification	By 1936, all the main economic indicators had regained the levels of the late 1920s, except for unemployment, which remained high.	Great Depression in the United States	By 1936, all the main economic indicators had regained the levels of the late 1920s, except for unemployment, which remained high	Great Depression in the United States	The Roosevelt Administration reacted by launching a rhetorical campaign against monopoly power, which was cast as the cause of the depression, and appointing Thurman Arnold to break up large trusts; Arnold was not effective, and the campaign ended once World War II began and corporate energies had to be directed to winning the war.				
6		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Which country's Glacier National park are you asking about? U.S. or Canada?	Glacier National Park (U.S.)	Glacier National Park (U.S.)	Glacier National Park (Canada)	Glacier National Park (Canada)				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Fit-fit or fir-fir, Genfo and a variation of ful, a fava bean stew with condiments, are common breakfast dishes for Ethiopians.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	I didn’t find the answer, but I learned that a pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.	Pandemic	A pandemic is an epidemic occurring on a scale that crosses international boundaries, usually affecting people on a worldwide scale.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	noAnswerButRelevantInfo	I didn't find the answer but I learned that water can be polluted by oil, metals, plastics, pesticides, persistent organic pollutants, industrial waste products.	Water pollution	Pollution may take the form of toxic substances (e.g., oil, metals, plastics, pesticides, persistent organic pollutants, industrial waste products), stressful conditions						
11	13 (What you found is relevant info. Even if you think it is the direct answer, it should not be "clarification needed" unless you decide to ask a clarification question.)	User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	clarification	Parinacota had numerous effusive and explosive eruptions during the Holocene, the latest about 200 years ago. Also, legends of the local Aymara people imply that they may have witnessed one eruption.	Parinacota (volcano)	Parinacota had numerous effusive and explosive eruptions during the Holocene, the latest about 200 years ago						
12	2	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	Britain suffered relatively less than other major countries in the Great Depression.	Great Depression	The world financial crisis now began to overwhelm Britain; investors around the world started withdrawing their gold from London at the rate of £2.5 million per day.						
