Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The three-color method is the foundation for almost all practical color process including chemical and electronic.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.						
2		User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	directAnswer	There are many different foods that people eat on Halloween including apples, potato pancakes and pumpkin pie.	Halloween	Halloween activities include trick-or-treating (or the related guising and souling), attending Halloween costume parties, carving pumpkins into jack-o'-lanterns, lighting bonfires, apple bobbing, divination games, playing pranks, visiting haunted attractions, telling scary stories, and watching horror or Halloween-themed films.	Halloween	List of foods associated with Halloween:	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.
3		User: What kind of food goes in hotpots?	clarification	Are you referring to the Chinese dish hotpot or to a different hotpot?	Hot pot	Hot pot is a flavorful broth traditionally served inside a large metal pot.						
4	17	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane can be found below ground and under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5	1 and 13	User: How did the Great Depression end in the United States?	directAnswer	The Great Depression ended with the Recession in 1937-1938.	Great Depression in the United States	By 1936, all the main economic indicators had regained the levels of the late 1920s, except for unemployment, which remained high.	Great Depression in the United States	The Roosevelt Administration reacted by launching a rhetorical campaign against monopoly power, which was cast as the cause of the depression, and appointing Thurman Arnold to break up large trusts;				
6		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	directAnswer	Yes, there are camping grounds in the park in both the United States and Canada.	Glacier National Park (U.S.)	Many day hikes can be taken in the park.	Glacier National Park (Canada)	There are three campgrounds in the park.				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Ethopians eat many different foods for breakfast including fit-fit, chechebsa, ful and kinche.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
8	11	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Would you like to know what people dump in the Great Barrier Reef or water in general? The most common thing dumped in the Great Barrier Reef is farm runoff.	Great Barrier Reef	Another key threat faced by the Great Barrier Reef is pollution and declining water quality.						
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	clarification	Are you interested in knowing how the hamlet was discovered or how the volcano was discovered?	Parinacota, Chile	It is situated on the highlands at an elevation of 4,400 metres (14,400 ft) in Lauca National Park near the small town of Putre and had 29 inhabitants as of 2002.	Parinacota (volcano)	Parinacota (in Hispanicized spelling), Parina Quta or Parinaquta is a dormant stratovolcano on the border of Chile and Bolivia.				
12	3	User: Did any specific country have a significantly less severe experience during the Great Depression?	noAnswerButRelevantInfo	I was unable to find if any countries had less severe experiences during the Great Depression but I did find information stating that it was severe worldwide.	Great Depression	The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States.						
