Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation for color photography was suggested in 1855 by James Clerk Maxell and uses the three color method.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.						
2		User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are a variety of foods eaten at Halloween. Are you interested in snacks, treats, or foods for a meal?	Halloween	List of foods associated with Halloween:						
3	1 and 2	User: What kind of food goes in hotpots?	directAnswer	Hotpots are a soup made with a basic stock, meat or protein, starch, vegetables, and condiments.	Hot pot	Basic stock is often made using:						
4	1 and 9	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Atmospheric methane is found below ground and under the seafloor. Would you like to know about methane that is not naturally occurring?	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes						
5		User: How did the Great Depression end in the United States?	directAnswer	Most economists say that Roosevelt's New Deal policies assisted the recovery from The Great Depression. The Banking Act of 1935 was also an assisting factor.	Great Depression	There is no consensus among economists regarding the motive force for the U.S. economic expansion that continued through most of the Roosevelt years (and the 1937 recession that interrupted it).						
6	15	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Are you interested in the Glacier National Park in Canada or the US?	Glacier National Park	Glacier National Park						
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Ethiopian breakfast foods include porridge called Genfo, stew called ful, and fried pancakes called fatira. Would you like to know the ingredients of these foods?	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat. Another popular breakfast food is fatira.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8	1	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	I could not find the criteria used by WHO but an endemic is a communicable disease and a pandemic is when an epidemic spreads worldwide.	Disease outbreak	There are several outbreak patterns, which can be useful in identifying the transmission method or source, and predicting the future rate of infection.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	11	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	invalidDialogueContext									
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12	3	User: Did any specific country have a significantly less severe experience during the Great Depression?	noAnswerButRelevantInfo	I do not think so but the Great Depression began in the United States.	Great Depression	The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States.						
