Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation for color photography was first suggested in an 1855 paper on color vision by James Clerk Maxwell.	Color photography	The three-color method, which is the foundation of virtually all practical color processes whether chemical or electronic, was first suggested in an 1855 paper on color vision by Scottish physicist James Clerk Maxwell.[1][2]						
2		User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are many types of food associated with Halloween. Would you like a list of common foods in North America, Great Britain, Ireland, or elsewhere? Or are you interested in the traditions of Western Christian denominations?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking	Halloween	List of foods associated with Halloween:
3	1	User: What kind of food goes in hotpots?	clarification	The ingredients of hot pot vary by country and region. Are you interested Chinese (Southern or Northern) hot pot, Cambodian, Philippine cuisine, or some other country?	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Chinese hot pots are often divided into "Southern style" and "Northern style", paralleling the cultural regions of China.	Hot pot	In Cambodian cuisine, hot pot is called yao hon (យ៉ាវហន), though some regions call it chhnang pleurng (ឆ្នាំងភ្លើង), which literally translates to "pot fire"	Hot pot	In Philippine cuisine, hotpot is commonly served by Chinese specialty restaurants, and in some all-you-can-eat buffets.
4		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found underground or under the sea floor. It is also present in the atmosphere.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	noAnswerButRelevantInfo	The United States economy began to recover after Germany invaded France in May 1940. I do not have an exact date.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938. T						
6		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you mean the Glacier National Park in the U.S., or the one in Canada?	Glacier National Park (U.S.)	Glacier National Park (U.S.)	Glacier National Park (Canada)	Glacier National Park (Canada)				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Ethiopian cuisine varies by region and religious restrictions. Are you looking for Amhara, Oromo, Sidama, or other types of cuisine?	Ethiopian cuisine	Ethiopian Orthodox Christians, Ethiopian Jews and Ethiopian Muslims avoid eating pork or shellfish, for religious reasons.	Ethiopian cuisine	Amhara dishes	Ethiopian cuisine	Oromo dishes	Ethiopian cuisine	Sidama dishes
8		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	I'm sorry, I can't find a complete answer. In February 2020, a WHO spokesperson clarified that there is no official category for a pandemic.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.						
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	13 or 18 ("no answer or no relevant info" is meant to indicate you are unable to find any useful information. In this case, you can still find the answer for dumping in Great Barrier Reef, and provide the answer, then clarify with the user whether this is what they want. And you can select the "clarification needed" situation. If you insist that there is no way you can search for potential answers, you should select "invalid user request")	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	noAnswerNoRelevantInfo	Are you asking what people dump into the waters of the Great Barrier Reef, or another location?								
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12	3	User: Did any specific country have a significantly less severe experience during the Great Depression?	invalidDialogueContext									
