Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	Maxwell took 3 of the same photos with red, green, and blue filters to recreate a color image. This was the foundation of color photography.	Photography	The first permanent color photograph was taken in 1861 using the three-color-separation principle first published by Scottish physicist James Clerk Maxwell in 1855.						
2	1 (double check paragraphs containing the repetitive info)	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Do you want to know about foods eaten typically in North America or Europe?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	At one time, candy apples were commonly given to trick-or-treating children, but the practice rapidly waned in the wake of widespread rumors that some individuals were embedding items like pins and razor blades in the apples in the United States.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	List of foods associated with Halloween:
3	1	User: What kind of food goes in hotpots?	clarification	Would you like to know more about the types of meat or vegetables that go in hotpots?	Hot pot	Hot pot is a flavorful broth traditionally served inside a large metal pot.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Common ingredients		
4	17	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane is found below the ground and under the sea floor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	directAnswer	The New Deal and the Second New Deal were created to help end the Great Depression.	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.	Great Depression in the United States	In 1934–36 came the much more controversial "Second New Deal."				
6		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Would you like to know about the options in the United States or Canada?	Glacier National Park (Canada)	There are three campgrounds in the park.	Glacier Park Lodge	Glacier Park Lodge is located just outside the boundaries of Glacier National Park in the village of East Glacier Park, Montana, United States.	Glacier National Park (U.S.)	Many day hikes can be taken in the park.		
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Examples of breakfast in Ethiopia include Kinche, fit-fit, ful, and Chechebsa.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
8	1 and 12	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	A pandemic is an epidemic that affects multiple areas of the world.	Epidemic	An epidemic (from Greek ἐπί epi "upon or above" and δῆμος demos "people") is the rapid spread of disease to a large number of hosts in a given population within a short period of time.	Pandemic	A pandemic (from Greek πᾶν, pan, "all" and δῆμος, demos, "local people" the 'crowd') is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of individuals.				
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10	1	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	Dumping was approved in 2014 around Abbot Point but many were opposed to the project.	Environmental threats to the Great Barrier Reef	Following a tour of the Great Barrier Reef area by WHC members, a 2012 UNESCO report, which criticised management of the Great Barrier Reef, specifically recommended no new port development outside the established areas of Abbot Point, Gladstone, Hay Point/Mackay, and Townsville.	Environmental threats to the Great Barrier Reef	On 31 January 2014, the GBRMPA issued a dumping permit that will allow three million cubic metres of sea bed from Abbot Point, north of Bowen, to be transported and unloaded in the waters of the Great Barrier Reef Marine Park.	Environmental threats to the Great Barrier Reef	Numerous responses, including online petitions, were published in opposition to the proposal:		
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	I didn't find the answer, but I learned that people have been living in that area for 7,000 to 10,000 years.	Parinacota (volcano)	The region around Parinacota has been inhabited for about 7,000–10,000 years.						
12	3	User: Did any specific country have a significantly less severe experience during the Great Depression?	invalidDialogueContext									
