Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation method is the theory that the human eye contains millions of cone cells, each of which is more sensitive to certain range on the color spectrum- either red, green, or blue.	Color Photography	It is based on the Young–Helmholtz theory that the normal human eye sees color because its inner surface is covered with millions of intermingled cone cells of three types: in theory, one type is most sensitive to the end of the spectrum we call "red", another is more sensitive to the middle or "green" region, and a third which is most strongly stimulated by "blue".						
2	1 and 4	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are many types of food associated with Halloween, it depends on which country you are interested in.	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	List of foods associated with Halloween:
3	2	User: What kind of food goes in hotpots?	directAnswer	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.	Hot pot	Typical hot pot ingredients include thinly sliced meat, leaf vegetables, mushrooms, vermicelli, sliced potatoes, bean products, egg dumplings, tofu, and seafood.						
4	13	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane is found both below ground and under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	directAnswer	The Great Depression in the United States was ended as a result of Franklin Roosevelt's New Deal.	Great Depression in the United States	The Depression caused major political changes in America.						
6	15	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Are you interested in Glacier National Park in the United States or in Canada?	Glacier National Park	Glacier National Park (Canada), in British Columbia, Canada	Glacier National Park	Glacier National Park (U.S.), in Montana, USA				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Ethiopians commonly eat Fit-fit, also known as fir-fir, as well as fatira for breakfast. Chechebsa, or kita firfir, and a variation of ful is also eaten.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
8	1	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	It is not quite clear how the WHO decides if something is a pandemic vs a epidemic, but it does have a six-stage classification system for defining a pandemic.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.	epidemic	An epidemic disease is not required to be contagious,[2][4] and the term has been applied to West Nile fever[2] and the obesity epidemic (e.g., by the World Health Organization[6]), among others				
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	Water pollution can usually be attributed to one of four sources: sewage, industry, agriculture, and urban runoff including stormwater.	Water pollution	Water pollution (or aquatic pollution) is the contamination of water bodies, usually as a result of human activities, in such a manner that negatively affects its legitimate uses.						
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerButRelevantInfo	The region around Parinacota has been inhabited for about 7,000 to 10,000 years, so it is not quite clear who first discovered it.	Parinacota (volcano)	The region around Parinacota has been inhabited for about 7,000–10,000 years.						
12	1 and / or 4, and 3	User: Did any specific country have a significantly less severe experience during the Great Depression?	noAnswerButRelevantInfo	The Great Depression was a global event, so all countries were affected, some more than others. Is there a certain indicator you are interested in?	Great Depression	The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States.						
