	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation method is based on the Young–Helmholtz theory about how the human eye sees color.  James Clerk Maxwell, in his studies on human vision, showed that any visible hue or gray tone could be make be mixing red, green, and blue together to stimulate the cells in the eyes into seeing the desired color.	Color photography	It is based on the Young–Helmholtz theory that the normal human eye sees color because its inner surface is covered with millions of intermingled cone cells of three types: in theory, one type is most sensitive to the end of the spectrum we call "red", another is more sensitive to the middle or "green" region, and a third which is most strongly stimulated by "blue".	Color photography	In his studies of color vision, Maxwell showed, by using a rotating disk with which he could alter the proportions, that any visible hue or gray tone could be made by mixing only three pure colors of light – red, green and blue – in proportions that would stimulate the three types of cells to the same degrees under particular lighting conditions.				
1		User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are many different kinds!  Some examples include Barmbrack, Bonfire toffee, Candy apples, Chocolate, Caramel corn, Halloween cake, Soul cakes, and pumpkin pie.	Halloween	List of foods associated with Halloween:						
2	It seems like "Southeast Asia" and "Europe" in your response appear in the section titles of your entered paragraphs. Therefore, these two terms have no grounding in your annotated evidence. Therefore, you should either say "Cambodia" or "Switzerland". Another option would be annotating the 2 section titles "Southeast Asia" and "Europe" as your evidence paragraph sentences :)	User: What kind of food goes in hotpots?	clarification	It varies somewhat by region.  Do you want to know about the foods they use in China, Southeast Asia, or Europe?	Hot pot	Chinese hot pots are often divided into "Southern style" and "Northern style", paralleling the cultural regions of China.	Hot pot	In Cambodian cuisine, hot pot is called yao hon (យ៉ាវហន), though some regions call it chhnang pleurng (ឆ្នាំងភ្លើង), which literally translates to "pot fire".	Hot pot	In Swiss cuisine, a variation of the traditional Chinese hot pot locally called fondue chinoise (lit. "Chinese fondue") is a popular Christmas meal.		
3		User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Do you want to know about sources of methane from human activity, or naturally occurring sources of methane?	Methane emissions	About one-third (33%) of anthropogenic emissions are from gas release during the extraction and delivery of fossil fuels; mostly due to gas venting and gas leaks from both active fossil fuel infrastructure and orphan wells.[	Methane emissions	The world's wetlands contribute about three-quarters (75%) of the enduring natural sources of methane.				
4		User: How did the Great Depression end in the United States?	directAnswer	The Great Depression ended in the United States due to a combination of government spending via the New Deal as well as increased military spending in 1940.	Great Depression in the United States	The economy in America was now beginning to show signs of recovery and the unemployment rate was lowering following the abysmal year of 1938.	Great Depression in the United States	In the "First New Deal" of 1933–34, a wide variety of programs were targeted toward the depression and agriculture in rural areas, in the banking industry, and for the economy as a whole.				
5	In this case where you find the entity ambiguity with the same name, please just label the page title as the paragraph first sentence.	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you mean Glacier National Park in Canada or the U.S.?	Glacier National Park (U.S.)	Glacier National Park is an American national park located in northwestern Montana, on the Canada–United States border, adjacent to the Canadian provinces of Alberta and British Columbia.	Glacier National Park (Canada)	Glacier National Park is part of a system of 43 parks and park reserves across Canada, and one of seven national parks in British Columbia.				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Fit-fit is a common breakfast dish, as are the pancake-like Chechesba and a variation of ful.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish. It is made from shredded injera or kitcha stir-fried with spices or wat.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
7		User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerButRelevantInfo	In February 2020, a WHO spokesperson said that there was no official category for a pandemic, although they previously used a six-stage classification to determine how an influenza virus moves from its first few infections to a pandemic.	Pandemic	The World Health Organization (WHO) previously applied a six-stage classification to describe the process by which a novel influenza virus moves from the first few infections in humans through to a pandemic.						
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9	Your annotation is good enough, but the user request can be better understood as dump into the water of Great barrier reef, if interepreted within the dialogue context.	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	There are a large number of things people dump in the water.  Are you interested in learning about sewage, nonbiodegradable organic substances, persistent organic pollutants, inorganic contaminants, solid waste, or something else?	Water pollution	If the water pollution stems from sewage (municipal wastewater), the main pollutants are: suspended solids, biodegradable organic matter, nutrients and pathogenic organisms.	Water pollution	Non-biodegradable organic substances can enter water bodies from a variety of sources, for example industrial wastewater.	Water pollution	Persistent organic pollutants (POPs), sometimes known as "forever chemicals", are organic compounds that are resistant to environmental degradation through chemical, biological, and photolytic processes.	Water pollution	Inorganic water pollutants include for example:
10		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information about when or how the volcano was discovered!								
11		User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	China was mostly unaffected by the Great Depression, as were Japan, the Soviet Union, and Ireland.	Great Depression	Ireland was a largely agrarian economy, trading almost exclusively with the UK, at the time of the Great Depression.	Great Depression	The Great Depression did not strongly affect Japan.	Great Depression	The Soviet Union was the world's only socialist state with very little international trade.	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.
